iter	Passed	Remaining
0	43	3878
1	77	3402
2	112	3248
3	152	3279
4	189	3218
5	226	3166
6	263	3124
7	299	3070
8	350	3150
9	383	3068
10	422	3032
11	462	3008
12	499	2960
13	545	2959
14	593	2967
15	638	2954
16	688	2957
17	728	2915
18	765	2858
19	806	2822
20	844	2773
21	877	2711
22	917	2672
23	956	2630
24	995	2589
25	1037	2554
26	1072	2502
27	1113	2465
28	1157	2434
29	1192	2385
30	1232	2345
31	1268	2298
32	1302	2250
33	1349	2222
34	1388	2181
35	1425	2138
36	1463	2096
37	1498	2050
38	1532	2004
39	1572	1965
40	1606	1920
41	1652	1889
42	1693	1850
43	1730	1809
44	1771	1771
45	1808	1730
46	1845	1688
47	1882	1647
48	1917	1604
49	1952	1561
50	1990	1522
51	2033	1486
52	2069	1444
53	2111	1407
54	2146	1365
55	2183	1325
56	2219	1285
57	2255	1244
58	2297	1207
59	2340	1170
60	2374	1128
61	2408	1087
62	2446	1048
63	2487	1010
64	2529	972
65	2567	933
66	2608	895
67	2656	859
68	2693	819
69	2731	780
70	2765	740
71	2802	700
72	2838	660
73	2874	621
74	2910	582
75	2946	542
76	2991	504
77	3045	468
78	3092	430
79	3149	393
80	3215	357
81	3265	318
82	3324	280
83	3378	241
84	3423	201
85	3472	161
86	3513	121
87	3560	80
88	3606	40
89	3658	0
