brawlername,event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,bounty,0,2253,3796,6049,0.6275417424367664,115668,0.05229622713282844,1.255309911625269,5.913000977517106,Q1
GUS,bounty,0,920,1507,2427,0.6209311907704985,115668,0.020982467060898433,1.242086423103606,2.3724340175953076,Q1
JANET,bounty,0,453,656,1109,0.5915238954012624,115668,0.009587785731576582,1.1832612217588305,1.0840664711632453,Q1
BONNIE,bounty,0,463,650,1113,0.5840071877807727,115668,0.00962236746550472,1.1682250943736618,1.0879765395894425,Q1
GENE,bounty,0,1870,2513,4383,0.5733515856719142,115668,0.03789293495175848,1.1469100454501506,4.284457478005864,Q1
FANG,bounty,0,1317,1752,3069,0.570869990224829,115668,0.02653283535636477,1.1419459591580199,2.9999999999999996,Q1
PENNY,bounty,0,1230,1619,2849,0.5682695682695683,115668,0.024630839990317115,1.136744176975099,2.7849462365591395,Q1
CARL,bounty,0,966,1222,2188,0.5585009140767825,115668,0.01891620845869212,1.117203343908238,2.1388074291300097,Q1
NANI,bounty,0,1407,1756,3163,0.5551691432184634,115668,0.02734550610367604,1.1105386000372222,3.0918866080156397,Q1
RICO,bounty,0,534,656,1190,0.5512605042016807,115668,0.0102880658436214,1.1027199117063387,1.1632453567937437,Q1
GRAY,bounty,0,1064,1274,2338,0.5449101796407185,115668,0.020213023480997336,1.0900169712892454,2.2854349951124138,Q1
SPROUT,bounty,0,914,1074,1988,0.540241448692153,115668,0.01718712176228516,1.0806778248418891,1.9433040078201367,Q1
BELLE,bounty,0,1377,1607,2984,0.5385388739946381,115668,0.02579797351039181,1.0772720611316158,2.9169110459433036,Q1
MR. P,bounty,0,739,861,1600,0.538125,115668,0.013832693571255663,1.076444163810211,1.564027370478983,Q1
EVE,bounty,0,950,1097,2047,0.5359062042012701,115668,0.017697202337725215,1.0720057716369624,2.0009775171065494,Q1
GROM,bounty,0,4494,4848,9342,0.518946692357097,115668,0.080765639589169,1.0380806286948387,9.131964809384163,Q1
MAX,bounty,0,1116,1140,2256,0.5053191489361702,115668,0.019504097935470484,1.0108206248248701,2.205278592375366,Q1
