brawlername,event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,brawlBall,263,6493,10666,17422,0.6122144415107336,808433,0.021550332556934216,1.2036330281608452,1.6367137958570153,Q1
OTIS,brawlBall,198,4331,6546,11075,0.5910609480812641,808433,0.013699341813112527,1.162044588512372,1.040443421485274,Q1
ASH,brawlBall,189,6171,8660,15020,0.5765645805592543,808433,0.018579152508618524,1.1335442697436857,1.4110573535628728,Q1
SAM,brawlBall,146,5696,7300,13142,0.5554710089788465,808433,0.01625613996459818,1.0920736383528242,1.2346282117525482,Q1
GRAY,brawlBall,157,5161,6298,11616,0.5421831955922864,808433,0.01436853765247089,1.0659493753827534,1.091267790877918,Q1
EMZ,brawlBall,182,5557,6253,11992,0.5214309539693128,808433,0.014833634945629384,1.0251498095245093,1.1265911973319553,Q1
BEA,brawlBall,550,14174,15985,30709,0.5205314402943763,808433,0.03798583185001107,1.0233813370824605,2.8849640659495517,Q1
MAX,brawlBall,283,10626,11791,22700,0.5194273127753304,808433,0.02807901211355796,1.0212105873269575,2.132556719432571,Q1
CARL,brawlBall,146,5238,5813,11197,0.5191569170313477,808433,0.013850251041211827,1.0206789807099548,1.0519047395368502,Q1
GROM,brawlBall,125,5431,5913,11469,0.5155636934344755,808433,0.014186704402220097,1.0136145890433845,1.0774578420780685,Q1
NITA,brawlBall,246,9124,9955,19325,0.5151358344113842,808433,0.02390426912310606,1.0127734046206218,1.8154915684156137,Q1
