brawlername,event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
8-BIT,gemGrab,0,1127,1994,3121,0.6388977891701377,228600,0.013652668416447944,1.2727725932141971,1.032247395402679,Q1
RUFFS,gemGrab,1,1269,2096,3366,0.6226975638740344,228600,0.014724409448818898,1.2404995080505157,1.1132793120555646,Q1
GUS,gemGrab,0,1264,2044,3308,0.6178960096735188,228600,0.014470691163604549,1.2309341492484658,1.0940962460724326,Q1
MANDY,gemGrab,0,2214,3425,5639,0.6073771945380386,228600,0.02466754155730534,1.209979217419831,1.8650570530841741,Q1
GRAY,gemGrab,0,1312,2021,3333,0.6063606360636064,228600,0.014580052493438321,1.2079540926070849,1.1023648089961964,Q1
ASH,gemGrab,0,2305,3313,5618,0.5897116411534354,228600,0.02457567804024497,1.1747869964213986,1.8581114602282123,Q1
CARL,gemGrab,0,2130,2787,4917,0.5668090298962782,228600,0.021509186351706035,1.1291618331867423,1.6262609558458738,Q1
PENNY,gemGrab,0,2713,3446,6159,0.5595064133787953,228600,0.02694225721784777,1.1146140129880242,2.037043161898462,Q1
MAX,gemGrab,0,2176,2485,4661,0.5331473932632482,228600,0.020389326334208223,1.0621032061645623,1.541590871506532,Q1
STU,gemGrab,0,2398,2708,5106,0.5303564433999216,228600,0.022335958005249342,1.0565432487577742,1.6887712915495285,Q1
RICO,gemGrab,0,3142,3425,6567,0.5215471295873306,228600,0.028727034120734907,1.0389938795538949,2.1719861088142878,Q1
SPIKE,gemGrab,1,2450,2667,5118,0.5211019929660023,228600,0.022388451443569553,1.0381071059549465,1.6927402017529352,Q1
CHESTER,gemGrab,0,2962,3157,6119,0.5159339761398921,228600,0.026767279090113737,1.027811703014068,2.02381346122044,Q1
NITA,gemGrab,0,2645,2810,5455,0.5151237396883593,228600,0.023862642169728783,1.0261976001528363,1.8042004299652719,Q1
PIPER,gemGrab,0,2599,2665,5264,0.5062689969604863,228600,0.023027121609798775,1.008557730278442,1.741028609227716,Q1
GRIFF,gemGrab,0,1682,1714,3396,0.5047114252061249,228600,0.014855643044619423,1.00545483232744,1.1232015875640813,Q1
