brawlername,event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
BONNIE,heist,2,700,1033,1735,0.5953890489913545,155880,0.011130356684629202,1.295156427055798,1.3356428021555042,Q1
LOLA,heist,7,1213,1647,2867,0.574468085106383,155880,0.018392353092122147,1.249646821392533,2.207082371054658,Q1
BEA,heist,11,1900,2468,4379,0.5635989952043846,155880,0.02809212214523993,1.2260031691173212,3.3710546574287914,Q1
8-BIT,heist,8,1610,2024,3642,0.5557386051619989,155880,0.023364126250962278,1.2089043751441908,2.803695150115473,Q1
EMZ,heist,19,3332,4167,7518,0.554269752593775,155880,0.04822940723633564,1.2057091637990116,5.787528868360277,Q1
COLETTE,heist,13,3580,4446,8039,0.5530538624206991,155880,0.05157172183731075,1.2030642243683636,6.18860662047729,Q1
SAM,heist,4,1164,1410,2578,0.5469356089992242,155880,0.016538362843212726,1.1897551195828397,1.9846035411855272,Q1
MANDY,heist,11,1436,1708,3155,0.5413629160063391,155880,0.020239928149858866,1.1776327784716436,2.428791377983064,Q1
EVE,heist,5,1013,1186,2204,0.5381125226860254,155880,0.01413908134462407,1.1705621616935968,1.6966897613548884,Q1
DARRYL,heist,12,2215,2550,4777,0.5338078291814946,155880,0.03064536823197331,1.1611981139867344,3.6774441878367976,Q1
BUZZ,heist,5,1399,1553,2957,0.5251944538383497,155880,0.01896972029766487,1.1424613427054744,2.2763664357197846,Q1
GROM,heist,5,1672,1842,3519,0.5234441602728048,155880,0.022575057736720555,1.1386539096253896,2.709006928406467,Q1
BIBI,heist,18,4269,4666,8953,0.5211660895789121,155880,0.05743520656915576,1.1336983970819845,6.892224788298691,Q1
GRIFF,heist,8,1374,1504,2886,0.5211365211365211,155880,0.01851424172440339,1.13363407652005,2.221709006928407,Q1
BARLEY,heist,2,845,914,1761,0.5190232822260079,155880,0.011297151655119322,1.129037124390191,1.3556581986143186,Q1
MAX,heist,3,1465,1581,3049,0.518530665792063,155880,0.019559917885552988,1.1279655303768683,2.3471901462663585,Q1
RICO,heist,5,1645,1756,3406,0.5155607751027599,155880,0.0218501411342058,1.1215050940950448,2.622016936104696,Q1
COLT,heist,30,9258,9689,18977,0.5105654212994678,155880,0.12174108288426995,1.1106386453507966,14.608929946112394,Q1
BULL,heist,12,3062,3135,6209,0.5049122241906909,155880,0.03983192199127534,1.0983411827400054,4.779830638953041,Q1
AMBER,heist,3,666,681,1350,0.5044444444444445,155880,0.008660508083140877,1.0973236162499533,1.0392609699769053,Q1
NITA,heist,17,5787,5826,11630,0.5009458297506448,155880,0.07460867333846549,1.0897130407545812,8.95304080061586,Q1
BELLE,heist,12,1387,1370,2769,0.49476345250993137,145092,0.019084442974112978,1.0762644467111429,2.2901331568935572,Q1
CARL,heist,2,967,923,1892,0.48784355179704014,155880,0.012137541698742623,1.0612115096474328,1.4565050038491147,Q1
PIPER,heist,8,1913,1708,3629,0.4706530724717553,155880,0.02328072876571722,1.0238168685803348,2.793687451886066,Q1
