brawlername,event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MEG,hotZone,1,1447,2888,4336,0.6660516605166051,136296,0.031813112637201386,1.3664384652752317,2.9287402904424185,Q1
LOU,hotZone,5,2075,3241,5321,0.6090960345799662,136296,0.039040030521805484,1.249591135395013,3.5940560621411692,Q1
ASH,hotZone,1,775,1146,1922,0.5962539021852237,136296,0.014101661090567588,1.2232448551879753,1.2982100641675112,Q1
AMBER,hotZone,1,807,1124,1932,0.5817805383022774,136296,0.014175030815284382,1.193552021577676,1.3049645390070923,Q1
SQUEAK,hotZone,1,1217,1686,2904,0.5805785123966942,136296,0.021306568057756648,1.1910860050041685,1.9614994934143872,Q1
STU,hotZone,3,2221,3058,5282,0.5789473684210527,136296,0.03875388859540999,1.1877396311373278,3.5677136102668023,Q1
CARL,hotZone,2,824,1104,1930,0.572020725388601,136296,0.014160356870341022,1.173529274740301,1.3036136440391761,Q1
BARLEY,hotZone,2,939,1247,2188,0.569926873857404,136296,0.016053295768034277,1.1692336330620205,1.4778790949003715,Q1
SAM,hotZone,1,859,1134,1994,0.5687061183550652,136296,0.014629923108528496,1.1667291917791953,1.346842283012496,Q1
BEA,hotZone,6,2594,3265,5865,0.556692242114237,136296,0.043031343546399016,1.1420821207099765,3.9614994934143875,Q1
PENNY,hotZone,3,2457,3032,5492,0.5520757465404225,136296,0.04029465281446264,1.1326111479599945,3.709557581898008,Q1
PAM,hotZone,0,865,1035,1900,0.5447368421052632,136296,0.013940247696190644,1.1175550165701222,1.2833502195204325,Q1
POCO,hotZone,2,4430,5152,9584,0.5375626043405676,136296,0.07031754416857428,1.1028367071328231,6.473488686254644,Q1
GRIFF,hotZone,4,1685,1875,3564,0.5260942760942761,136296,0.026148969889064975,1.079308855200166,2.407294832826748,Q1
GALE,hotZone,1,848,923,1772,0.5208803611738149,136296,0.013001115219815696,1.068612246627094,1.1968929415737928,Q1
CHESTER,hotZone,3,1387,1501,2891,0.5191975095122795,136296,0.021211187415624815,1.0651597918431954,1.9527186761229316,Q1
RICO,hotZone,2,2237,2357,4596,0.5128372497824195,136296,0.033720725479838,1.0521113992646363,3.1043566362715307,Q1
FRANK,hotZone,1,994,1028,2023,0.5081562036579338,136296,0.014842695310207196,1.0425079978148695,1.3664302600472815,Q1
BUSTER,hotZone,0,1302,1279,2581,0.49554436265013563,136296,0.018936725949404237,1.0166341719653484,1.7433299560959137,Q1
