brawlername,event.mode,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,knockout,16,5405,8033,13454,0.5970715028987662,194610,0.06913313807101382,1.2933866464692345,9.008369601606963,Q1
JACKY,knockout,36,3228,4545,7809,0.5820207452938917,194610,0.04012640665947279,1.2607834342729047,5.228657515902243,Q1
GUS,knockout,4,1656,2231,3891,0.5733744538679003,194610,0.019993833821489133,1.2420536878060822,2.605289588215601,Q1
GRAY,knockout,44,6100,8250,14394,0.5731554814506045,194610,0.07396331123786033,1.241579345957408,9.637763642450619,Q1
EVE,knockout,2,2491,3278,5771,0.5680124761739733,194610,0.029654180155182158,1.2304384787158453,3.8640776699029127,Q1
NANI,knockout,3,2526,3296,5825,0.5658369098712447,194610,0.029931658188171215,1.225725729253182,3.9002343488449953,Q1
BO,knockout,55,7219,9267,16541,0.5602442415815247,194610,0.08499563229022147,1.2136107941927456,11.075326414462673,Q1
SHELLY,knockout,4,904,1129,2037,0.554246440844379,194610,0.010467088022198243,1.2006182541972088,1.3639102778707735,Q1
TARA,knockout,8,1435,1680,3123,0.5379442843419788,194610,0.016047479574533684,1.1653042400021099,2.0910612654837633,Q1
BONNIE,knockout,4,998,1141,2143,0.5324311712552496,194610,0.011011767123991573,1.1533616388023684,1.4348844994978238,Q1
SPROUT,knockout,3,1019,1159,2181,0.5314076111875287,194610,0.01120702944350239,1.1511443852288479,1.460328088382993,Q1
MR. P,knockout,2,791,898,1691,0.5310467179183915,194610,0.008689173218231334,1.1503626119691355,1.1322397053900233,Q1
GENE,knockout,7,2530,2669,5206,0.512677679600461,194610,0.02675093777298186,1.1105712825327994,3.485771677268162,Q1
BELLE,knockout,3,2473,2594,5070,0.5116370808678501,194610,0.026052104208416832,1.1083171195078394,3.394710411784399,Q1
PENNY,knockout,3,762,801,1566,0.5114942528735632,194610,0.008046862956682596,1.1080077230291,1.0485436893203883,Q1
PIPER,knockout,5,6804,6584,13393,0.4916000895990443,194610,0.06881969066337804,1.0649126414567607,8.967525945764981,Q1
GROM,knockout,6,5780,5537,11323,0.4890046807383202,194610,0.05818303273213093,1.0592904217623171,7.581519919651825,Q1
MORTIS,knockout,14,4299,3885,8198,0.47389607221273483,194610,0.04212527619341246,1.026561891898053,5.4891195179109475,Q1
CARL,knockout,2,1382,1229,2613,0.4703406046689629,194610,0.013426853707414829,1.0188599764310724,1.7495815199196518,Q1
BYRON,knockout,2,1392,1207,2601,0.46405228758169936,194610,0.01336519192230615,1.005238114878571,1.7415467023769668,Q1
