brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
CHESTER,0,77,139,216,0.6435185185185185,13086,0.016506189821182942,1.3116359806573883,1.763265306122449,Q1
MANDY,0,142,251,393,0.638676844783715,13086,0.030032095369096744,1.3017675568367468,3.2081632653061227,Q1
ASH,0,139,245,384,0.6380208333333334,13086,0.029344337459880788,1.3004304574413408,3.1346938775510207,Q1
ROSA,0,79,129,208,0.6201923076923077,13086,0.01589484945743543,1.2640918983480034,1.6979591836734698,Q1
SQUEAK,0,69,107,176,0.6079545454545454,13086,0.01344948800244536,1.2391485768865909,1.4367346938775512,Q1
MR. P,0,84,120,204,0.5882352941176471,13086,0.015589179275561669,1.1989562920947774,1.6653061224489798,Q1
CARL,0,159,226,385,0.587012987012987,13086,0.029420755005349228,1.1964649543449701,3.1428571428571432,Q1
PENNY,0,229,321,550,0.5836363636363636,13086,0.04202965000764176,1.1895826338111273,4.4897959183673475,Q1
JACKY,0,115,157,272,0.5772058823529411,13086,0.02078557236741556,1.1764758616180002,2.2204081632653065,Q1
EVE,0,561,726,1287,0.5641025641025641,13086,0.09834938101788171,1.1497683416498634,10.506122448979593,Q1
FANG,0,137,169,306,0.5522875816993464,13086,0.023383768913342505,1.1256867409112077,2.49795918367347,Q1
JANET,0,89,109,198,0.5505050505050505,13086,0.015130674002751032,1.122053540026072,1.6163265306122452,Q1
GROM,0,596,716,1312,0.5457317073170732,13086,0.1002598196545927,1.1123243892818317,10.710204081632655,Q1
DARRYL,0,63,74,137,0.5401459854014599,13086,0.01046920372917622,1.100939427339584,1.1183673469387756,Q1
TARA,0,74,84,158,0.5316455696202531,13086,0.012073972184013449,1.0836136614628746,1.289795918367347,Q1
GENE,0,156,175,331,0.5287009063444109,13086,0.02529420755005349,1.0776117731063333,2.702040816326531,Q1
POCO,0,60,63,123,0.5121951219512195,13086,0.009399358092618064,1.0439692592142331,1.0040816326530613,Q1
BUSTER,0,87,91,178,0.5112359550561798,13086,0.01360232309338224,1.0420142606014724,1.453061224489796,Q1
NITA,0,94,97,191,0.5078534031413613,13086,0.014595751184471954,1.0351198563687372,1.5591836734693878,Q1
GRAY,0,73,72,145,0.496551724137931,13086,0.011080544092923736,1.0120844838096603,1.1836734693877553,Q1
