brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
RUFFS,0,148,238,386,0.616580310880829,29460,0.013102511880515954,1.3146919025392882,2.466453674121406,Q1
MANDY,0,853,1359,2212,0.614376130198915,29460,0.07508486082824169,1.309992079267108,14.134185303514379,Q1
OTIS,0,74,110,184,0.5978260869565217,29460,0.0062457569585879155,1.274703557312253,1.1757188498402555,Q1
GUS,0,356,510,866,0.5889145496535797,29460,0.029395790902919213,1.2557020976084592,5.533546325878595,Q1
BONNIE,0,146,209,355,0.5887323943661972,29460,0.012050237610319077,1.2553137003841228,2.268370607028754,Q1
JANET,0,85,118,203,0.5812807881773399,29460,0.006890699253224711,1.239425151650857,1.2971246006389776,Q1
GENE,0,621,844,1465,0.5761092150170648,29460,0.049728445349626615,1.228398160945477,9.361022364217254,Q1
FANG,0,327,436,763,0.5714285714285714,29460,0.025899524779361846,1.218417945690673,4.875399361022364,Q1
PENNY,0,279,371,650,0.5707692307692308,29460,0.022063815342837745,1.2170120788302607,4.15335463258786,Q1
SQUEAK,0,98,121,219,0.5525114155251142,29460,0.007433808553971487,1.178082191780822,1.3993610223642172,Q1
CARL,0,233,283,516,0.5484496124031008,29460,0.017515274949083504,1.1694214876033058,3.297124600638978,Q1
LEON,0,419,473,892,0.5302690582959642,29460,0.030278343516632722,1.1306563391765185,5.699680511182109,Q1
GRAY,0,299,336,635,0.5291338582677165,29460,0.021554650373387645,1.128235830025379,4.057507987220448,Q1
SPROUT,0,277,311,588,0.5289115646258503,29460,0.019959266802443993,1.1277618485410692,3.7571884984025563,Q1
NANI,0,223,247,470,0.5255319148936171,29460,0.015953835709436523,1.1205556532442413,3.0031948881789137,Q1
MR. P,0,232,252,484,0.5206611570247934,29460,0.01642905634758995,1.110170070350386,3.092651757188498,Q1
GROM,0,968,1048,2016,0.5198412698412699,29460,0.06843177189409369,1.108421881149154,12.881789137380192,Q1
BELLE,0,488,474,962,0.49272349272349275,29460,0.032654446707399865,1.0506005051459597,6.146964856230032,Q1
MORTIS,0,976,932,1908,0.48846960167714887,29460,0.06476578411405295,1.0415302250636729,12.191693290734825,Q1
BYRON,0,333,317,650,0.4876923076923077,29460,0.022063815342837745,1.039872854418309,4.15335463258786,Q1
PIPER,0,1455,1363,2818,0.4836763662171753,29460,0.0956551255940258,1.0313099378845556,18.00638977635783,Q1
MAX,0,310,286,596,0.4798657718120805,29460,0.02023082145281738,1.0231848688224527,3.808306709265176,Q1
STU,0,151,138,289,0.47750865051903113,29460,0.00980991174473863,1.018158940776116,1.8466453674121408,Q1
