brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
BELLE,0,95,211,306,0.6895424836601307,17316,0.017671517671517672,1.4127968265555504,2.0400000000000005,Q1
BONNIE,0,58,122,180,0.6777777777777778,17316,0.010395010395010396,1.3886922361498635,1.2000000000000002,Q1
GUS,0,100,188,288,0.6527777777777778,17316,0.016632016632016633,1.3374699815377782,1.9200000000000002,Q1
SAM,0,91,157,248,0.6330645161290323,17316,0.014322014322014322,1.2970796732415104,1.6533333333333335,Q1
CARL,0,201,345,546,0.6318681318681318,17316,0.03153153153153153,1.294628413272481,3.64,Q1
FANG,0,231,391,622,0.6286173633440515,17316,0.03592053592053592,1.2879679455514652,4.146666666666667,Q1
RUFFS,0,74,124,198,0.6262626262626263,17316,0.011434511434511435,1.283143347858294,1.3200000000000003,Q1
MANDY,0,223,350,573,0.6108202443280978,17316,0.03309078309078309,1.2515036030875948,3.82,Q1
PENNY,0,176,273,449,0.6080178173719376,17316,0.02592977592977593,1.2457617380043864,2.9933333333333336,Q1
GENE,0,240,362,602,0.6013289036544851,17316,0.03476553476553477,1.2320568883438416,4.013333333333334,Q1
BUZZ,0,165,229,394,0.5812182741116751,17316,0.022753522753522753,1.1908524168697963,2.626666666666667,Q1
MR. P,0,132,171,303,0.5643564356435643,17316,0.017498267498267498,1.1563043615401394,2.02,Q1
RICO,0,304,369,673,0.5482912332838039,17316,0.03886578886578886,1.1233885261134866,4.486666666666666,Q1
MAX,0,93,107,200,0.535,17316,0.01155001155001155,1.0961562486986216,1.3333333333333335,Q1
STU,0,93,105,198,0.5303030303030303,17316,0.011434511434511435,1.0865326735896843,1.3200000000000003,Q1
SURGE,0,77,81,158,0.5126582278481012,17316,0.009124509124509125,1.0503804110326316,1.0533333333333335,Q1
GRAY,0,168,175,343,0.5102040816326531,17316,0.01980826980826981,1.0453521349405128,2.286666666666667,Q1
MORTIS,0,948,961,1909,0.5034049240440021,17316,0.11024486024486024,1.0314214076943697,12.726666666666668,Q1
SPROUT,0,151,153,304,0.5032894736842105,17316,0.017556017556017555,1.0311848625853979,2.026666666666667,Q1
GROM,0,921,879,1800,0.48833333333333334,17316,0.10395010395010396,1.0005413734227295,12.000000000000002,Q1
