brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,0,121,348,469,0.7420042643923241,6948,0.06750143926309729,1.812851327776701,24.68421052631579,Q1
GUS,0,78,167,245,0.6816326530612244,6948,0.03526194588370754,1.665352504638219,12.894736842105264,Q1
BONNIE,0,43,91,134,0.6791044776119403,6948,0.019286125503742084,1.659175712347354,7.052631578947369,Q1
JANET,0,30,62,92,0.6739130434782609,6948,0.013241220495106506,1.6464920948616601,4.842105263157896,Q1
GRAY,0,64,124,188,0.6595744680851063,6948,0.027058146229130685,1.6114603481624756,9.894736842105264,Q1
BELLE,0,132,232,364,0.6373626373626373,6948,0.05238917674150835,1.5571928071928072,19.157894736842106,Q1
SPROUT,0,30,41,71,0.5774647887323944,6948,0.010218767990788717,1.410851472471191,3.7368421052631584,Q1
NANI,0,147,176,323,0.544891640866873,6948,0.04648819804260219,1.331269349845201,17.0,Q1
MR. P,0,22,24,46,0.5217391304347826,6948,0.006620610247553253,1.274703557312253,2.421052631578948,Q1
PIPER,0,428,452,880,0.5136363636363637,6948,0.1266551525618883,1.2549070247933884,46.31578947368421,Q1
GROM,0,370,388,758,0.5118733509234829,6948,0.10909614277489925,1.2505996641880548,39.89473684210527,Q1
MAX,0,138,144,282,0.5106382978723404,6948,0.04058721934369603,1.2475822050290135,14.842105263157897,Q1
FANG,0,52,52,104,0.5,6948,0.014968336211859529,1.2215909090909092,5.473684210526317,Q1
LEON,0,118,114,232,0.49137931034482757,6948,0.0333909038572251,1.2005289968652038,12.210526315789474,Q1
CHESTER,0,45,40,85,0.47058823529411764,6948,0.012233736327000576,1.1497326203208555,4.473684210526316,Q1
MORTIS,0,204,174,378,0.4603174603174603,6948,0.054404145077720206,1.1246392496392497,19.894736842105264,Q1
GENE,0,119,98,217,0.45161290322580644,6948,0.031232009211283822,1.1033724340175952,11.421052631578947,Q1
BUSTER,0,11,9,20,0.45,6948,0.0028785261945883708,1.0994318181818181,1.0526315789473686,Q1
CARL,0,43,35,78,0.44871794871794873,6948,0.011226252158894647,1.0962995337995338,4.105263157894737,Q1
BYRON,0,55,44,99,0.4444444444444444,6948,0.014248704663212436,1.0858585858585859,5.210526315789474,Q1
TICK,0,273,217,490,0.44285714285714284,6948,0.07052389176741508,1.0819805194805194,25.789473684210527,Q1
SPIKE,0,50,36,86,0.4186046511627907,6948,0.012377662636729994,1.0227272727272727,4.526315789473685,Q1
