brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
JANET,0,97,193,290,0.6655172413793103,19848,0.014611043933897621,1.305519218937685,1.8354430379746833,Q1
ASH,0,64,113,177,0.6384180790960452,19848,0.008917775090689238,1.252359849084861,1.120253164556962,Q1
GUS,0,89,143,232,0.6163793103448276,19848,0.011688835147118097,1.2091272558814052,1.4683544303797467,Q1
GENE,0,317,493,810,0.608641975308642,19848,0.040810157194679564,1.193949227477265,5.1265822784810124,Q1
MANDY,0,239,356,595,0.5983193277310924,19848,0.02997783151954857,1.1736996922813305,3.7658227848101267,Q1
POCO,0,80,117,197,0.5939086294416244,19848,0.009925433293027005,1.1650473974528721,1.2468354430379744,Q1
MAX,0,113,165,278,0.5935251798561151,19848,0.014006449012494962,1.164295199354535,1.7594936708860758,Q1
FANG,0,279,395,674,0.586053412462908,19848,0.033958081418782746,1.1496381246391647,4.265822784810126,Q1
PENNY,0,365,510,875,0.5828571428571429,19848,0.04408504635227731,1.143368127199903,5.537974683544303,Q1
RICO,0,69,94,163,0.5766871165644172,19848,0.008212414349052802,1.131264627236762,1.0316455696202531,Q1
GRAY,0,218,286,504,0.5674603174603174,19848,0.02539298669891173,1.1131647752558969,3.1898734177215187,Q1
SPROUT,0,197,238,435,0.5471264367816092,19848,0.021916565900846435,1.0732765944979932,2.7531645569620253,Q1
BELLE,0,118,139,257,0.5408560311284046,19848,0.012948407900040306,1.06097618425794,1.6265822784810124,Q1
SQUEAK,0,102,118,220,0.5363636363636364,19848,0.011084240225715438,1.0521636286398395,1.3924050632911391,Q1
BUZZ,0,132,145,277,0.5234657039711191,19848,0.013956066102378073,1.0268622576519266,1.7531645569620251,Q1
GROM,0,843,899,1742,0.516073478760046,19848,0.08776702942361951,1.012361217733306,11.025316455696203,Q1
