brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
GUS,0,229,402,631,0.6370839936608558,21186,0.02978381950344567,1.5078911092564635,9.279411764705882,Q1
MANDY,0,570,953,1523,0.6257386736703874,21186,0.07188709525158123,1.4810382808766567,22.39705882352941,Q1
MR. P,0,92,126,218,0.5779816513761468,21186,0.010289814028131785,1.368003908582596,3.205882352941176,Q1
NANI,0,936,1251,2187,0.5720164609053497,21186,0.1032285471537808,1.3538851145688753,32.161764705882355,Q1
SPROUT,0,194,258,452,0.5707964601769911,21186,0.021334843764750307,1.3509975388804525,6.647058823529412,Q1
JANET,0,45,59,104,0.5673076923076923,21186,0.004908902105163787,1.3427401001365498,1.5294117647058822,Q1
LOLA,0,33,43,76,0.5657894736842105,21186,0.0035872746153119985,1.339146683276238,1.1176470588235294,Q1
GROM,0,645,761,1406,0.5412517780938834,21186,0.06636458038327198,1.2810692972636293,20.676470588235293,Q1
BONNIE,0,95,110,205,0.5365853658536586,21186,0.009676201264986311,1.2700245345648724,3.014705882352941,Q1
FANG,0,201,232,433,0.535796766743649,21186,0.020438025110922308,1.2681580277956188,6.36764705882353,Q1
POCO,0,57,65,122,0.5327868852459017,21186,0.005758519777211366,1.2610340479192939,1.7941176470588234,Q1
GENE,0,279,317,596,0.5318791946308725,21186,0.028131785141130936,1.2588856677653788,8.76470588235294,Q1
GRAY,0,160,173,333,0.5195195195195195,21186,0.015717926932880204,1.229631998862768,4.897058823529411,Q1
BYRON,0,266,283,549,0.5154826958105647,21186,0.025913338997451147,1.220077386533881,8.073529411764707,Q1
EVE,0,118,124,242,0.512396694214876,21186,0.01142263759086189,1.2127732407452687,3.5588235294117645,Q1
BELLE,0,456,463,919,0.5038084874863983,21186,0.04337770225620693,1.1924461242281617,13.51470588235294,Q1
PIPER,0,1562,1556,3118,0.4990378447722899,21186,0.14717266119135278,1.1811546621829347,45.85294117647059,Q1
MORTIS,0,343,329,672,0.4895833333333333,21186,0.03171905975644294,1.1587771203155819,9.882352941176471,Q1
MAX,0,338,311,649,0.47919876733436056,21186,0.03063343717549325,1.1341982658801433,9.544117647058824,Q1
CARL,0,70,63,133,0.47368421052631576,21186,0.006277730576795998,1.1211460604173153,1.9558823529411764,Q1
TICK,0,914,749,1663,0.45039085989176186,21186,0.07849523270084018,1.0660138695663004,24.455882352941174,Q1
BROCK,0,735,598,1333,0.4486121530382596,21186,0.06291890871330123,1.0618039125165908,19.602941176470587,Q1
8-BIT,0,46,34,80,0.425,21186,0.0037760785424336826,1.0059171597633136,1.1764705882352942,Q1
