brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
OTIS,0,37,82,119,0.6890756302521008,7824,0.01520961145194274,1.4272587161672687,1.4691358024691359,Q1
RICO,0,73,141,214,0.6588785046728972,7824,0.027351738241308793,1.36471244578132,2.6419753086419755,Q1
AMBER,0,35,67,102,0.6568627450980392,7824,0.01303680981595092,1.3605372721187987,1.2592592592592593,Q1
MANDY,0,105,179,284,0.6302816901408451,7824,0.036298568507157465,1.3054808447732305,3.5061728395061733,Q1
GENE,0,138,224,362,0.6187845303867403,7824,0.046267893660531696,1.281667172151823,4.469135802469136,Q1
GUS,0,44,67,111,0.6036036036036037,7824,0.014187116564417178,1.2502234392443017,1.3703703703703705,Q1
BUSTER,0,37,56,93,0.6021505376344086,7824,0.011886503067484663,1.2472137535455912,1.1481481481481484,Q1
PENNY,0,57,84,141,0.5957446808510638,7824,0.018021472392638037,1.2339455221248934,1.740740740740741,Q1
ASH,0,64,86,150,0.5733333333333334,7824,0.019171779141104295,1.1875256667687666,1.851851851851852,Q1
GRAY,0,82,108,190,0.5684210526315789,7824,0.024284253578732106,1.1773510282529998,2.345679012345679,Q1
CHESTER,0,88,105,193,0.5440414507772021,7824,0.024667689161554193,1.1268543952047279,2.3827160493827164,Q1
CROW,0,191,224,415,0.5397590361445783,7824,0.053041922290388545,1.1179843766721926,5.1234567901234565,Q1
BELLE,0,56,64,120,0.5333333333333333,7824,0.015337423312883436,1.1046750388546664,1.4814814814814816,Q1
JANET,0,57,65,122,0.5327868852459017,7824,0.015593047034764827,1.1035431996755123,1.506172839506173,Q1
TARA,0,93,99,192,0.515625,7824,0.024539877300613498,1.067996375455195,2.3703703703703707,Q1
CARL,0,67,70,137,0.5109489051094891,7824,0.017510224948875254,1.0583109405085767,1.691358024691358,Q1
GROM,0,151,157,308,0.5097402597402597,7824,0.03936605316973415,1.0558075148144235,3.802469135802469,Q1
SURGE,0,113,110,223,0.49327354260089684,7824,0.02850204498977505,1.0217005684474214,2.7530864197530867,Q1
MAX,0,81,77,158,0.4873417721518987,7824,0.020194274028629857,1.0094142957888763,1.9506172839506175,Q1
PIPER,0,185,173,358,0.48324022346368717,7824,0.04575664621676891,1.0009188986829118,4.419753086419753,Q1
