brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
PAM,11,236,417,664,0.6280120481927711,57366,0.011574800404420736,1.2971908029261447,1.1399141630901286,Q1
PENNY,15,229,389,633,0.6145339652448657,57366,0.011034410626503503,1.269351137602189,1.0866952789699569,Q1
GUS,20,392,641,1053,0.6087369420702754,57366,0.01835582052086602,1.2573770916136318,1.807725321888412,Q1
MANDY,46,786,1261,2093,0.6024844720496895,57366,0.0364850259735732,1.244462297017548,3.5931330472103005,Q1
OTIS,22,294,465,781,0.5953905249679897,57366,0.013614336017850295,1.229809388785442,1.340772532188841,Q1
LOLA,17,280,421,718,0.5863509749303621,57366,0.012516124533695917,1.211137738766712,1.2326180257510728,Q1
GRAY,19,524,733,1276,0.5744514106583072,57366,0.022243140536206116,1.1865585839925983,2.190557939914163,Q1
BONNIE,11,238,336,585,0.5743589743589743,57366,0.010197678067147787,1.186367652118447,1.004291845493562,Q1
MEG,12,275,364,651,0.5591397849462365,57366,0.011348185336261897,1.1549316429033267,1.117596566523605,Q1
CARL,21,501,603,1125,0.536,57366,0.019610919359899594,1.1071352410662507,1.9313304721030042,Q1
CHESTER,33,611,730,1374,0.5312954876273653,57366,0.02395146951155737,1.0974178316636836,2.3587982832618026,Q1
FANG,23,803,878,1704,0.5152582159624414,57366,0.029704005857127916,1.0642920319793727,2.925321888412017,Q1
BELLE,33,579,649,1261,0.514670896114195,57366,0.021981661611407455,1.063078892983531,2.1648068669527896,Q1
BYRON,19,300,333,652,0.5107361963190185,57366,0.011365617264581808,1.0549515705837993,1.11931330472103,Q1
MAX,41,1255,1345,2641,0.5092767890950397,57366,0.04603772269288429,1.051937090791386,4.533905579399142,Q1
LEON,27,650,683,1360,0.5022058823529412,57366,0.023707422515078617,1.0373317735517027,2.3347639484978537,Q1
STU,73,1319,1389,2781,0.4994606256742179,57366,0.04847819265767179,1.031661306359936,4.774248927038626,Q1
COLETTE,24,383,405,812,0.4987684729064039,57366,0.014154725795767528,1.0302316296408158,1.3939914163090128,Q1
GENE,13,297,294,604,0.4867549668874172,57366,0.010528884705226092,1.0054171223975663,1.036909871244635,Q1
BEA,107,1990,1972,4069,0.48463996067829934,57366,0.07093051633371683,1.0010484695819164,6.985407725321887,Q1
BROCK,37,822,807,1666,0.4843937575030012,57366,0.029041592580971307,1.0005399244105824,2.860085836909871,Q1
