brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,37,643,1154,1834,0.6292257360959651,88080,0.020821980018165303,1.2665136953996543,1.676416819012797,Q1
OTIS,22,519,753,1294,0.5819165378670789,88080,0.01469118982742961,1.1712891296547414,1.1828153564899453,Q1
ASH,15,506,702,1223,0.5739983646770237,88080,0.013885104450499546,1.155351328302284,1.1179159049360148,Q1
SAM,13,630,790,1433,0.5512909979064898,88080,0.01626930063578565,1.1096456469361964,1.309872029250457,Q1
GRAY,19,751,930,1700,0.5470588235294118,88080,0.01930063578564941,1.1011270716421442,1.5539305301645339,Q1
CARL,27,705,856,1588,0.5390428211586902,88080,0.018029064486830153,1.0849923584502372,1.4515539305301646,Q1
GRIFF,20,793,944,1757,0.537279453614115,88080,0.019947774750227066,1.0814430294620676,1.6060329067641683,Q1
MAX,40,1150,1363,2553,0.5338817077947513,88080,0.028985013623978203,1.0746040027553552,2.33363802559415,Q1
BEA,47,1111,1313,2471,0.5313638203156617,88080,0.02805404178019982,1.069535966289574,2.2586837294332724,Q1
RICO,21,555,651,1227,0.530562347188264,88080,0.013930517711171661,1.0679227508183793,1.1215722120658136,Q1
STU,57,1733,1969,3759,0.5238095238095238,88080,0.04267711171662125,1.054330580630215,3.4360146252285193,Q1
DARRYL,14,582,647,1243,0.5205148833467418,88080,0.014112170753860127,1.0476990857180377,1.1361974405850093,Q1
CHESTER,29,1232,1353,2614,0.5175975516449886,88080,0.029677565849227976,1.0418270427574006,2.3893967093235835,Q1
NITA,22,838,915,1775,0.5154929577464789,88080,0.02015213442325159,1.0375908889531154,1.6224862888482632,Q1
GROM,12,553,591,1156,0.5112456747404844,88080,0.013124432334241598,1.0290419028154763,1.056672760511883,Q1
SURGE,66,1843,1947,3856,0.5049273858921162,88080,0.043778383287920074,1.0163243693471236,3.524680073126143,Q1
POCO,25,763,801,1589,0.5040906230333543,88080,0.018040417801998183,1.0146401222484607,1.4524680073126142,Q1
