brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,32,862,1449,2343,0.618437900128041,120570,0.019432694700174172,1.2602022109935591,1.6097560975609755,Q1
ROSA,22,779,1181,1982,0.5958627648839556,120570,0.016438583395537863,1.2142004453479138,1.361731363792511,Q1
OTIS,20,683,1007,1710,0.5888888888888889,120570,0.014182632495645683,1.1999896507857462,1.1748540020611473,Q1
ASH,30,1089,1573,2692,0.5843239227340268,120570,0.022327278759227007,1.1906875358275961,1.8495362418412915,Q1
EMZ,27,863,1114,2004,0.5558882235528942,120570,0.016621050012440904,1.1327435919460975,1.3768464445207829,Q1
SAM,25,825,1039,1889,0.5500264690312334,120570,0.015667247242265904,1.120798987634219,1.2978357952593609,Q1
GROM,75,2917,3617,6609,0.5472840066575881,120570,0.05481463050510077,1.1152106219371638,4.540707660597732,Q1
GRAY,16,673,792,1481,0.5347738014854828,120570,0.012283320892427636,1.0897183482349764,1.0175197526623152,Q1
MAX,27,1101,1244,2372,0.524451939291737,120570,0.019673218877000912,1.0686853010115829,1.629680522157334,Q1
BULL,41,1869,2049,3959,0.5175549381156858,120570,0.032835697105415944,1.0546311556730041,2.7200274819649604,Q1
BUSTER,22,1023,1103,2148,0.5135009310986964,120570,0.017815376959442648,1.0463702314878345,1.4757815183785639,Q1
GALE,35,822,903,1760,0.5130681818181818,120570,0.01459732935224351,1.0454884103704716,1.2092064582617656,Q1
GRIFF,34,1048,1139,2221,0.5128320576316975,120570,0.018420834370075474,1.0450072558005221,1.5259361044314665,Q1
CHESTER,53,1842,1944,3839,0.5063818702787184,120570,0.03184042464958116,1.0318635911547038,2.6375815870834765,Q1
BUZZ,63,2668,2769,5500,0.5034545454545455,120570,0.04561665422576097,1.0258985278638622,3.7787701820680177,Q1
DARRYL,22,996,1030,2048,0.5029296875,120570,0.016985983246246995,1.024829015218148,1.4070766059773274,Q1
NITA,30,1374,1415,2819,0.5019510464703796,120570,0.023380608774985486,1.0228348205075048,1.9367914805908621,Q1
TARA,45,1475,1470,2990,0.4916387959866221,120570,0.024798872024550053,1.001821359241208,2.0542768807969765,Q1
