brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,59,1495,2330,3884,0.5998970133882595,154962,0.025064209290019488,1.1902599077529035,2.1476361625656617,Q1
OTIS,48,919,1415,2382,0.5940386230058774,154962,0.015371510434816278,1.178636233954745,1.317113630080177,Q1
ASH,33,785,1145,1963,0.5832908813041263,154962,0.012667621739523238,1.1573115636180404,1.0854299142936135,Q1
SAM,18,972,1286,2276,0.5650263620386643,154962,0.014687471767271976,1.1210728017457756,1.2585015205971797,Q1
RICO,41,1163,1386,2590,0.5351351351351351,154962,0.016713774989997546,1.0617654070050235,1.4321260713298312,Q1
GRAY,44,961,1132,2137,0.529714553111839,154962,0.013790477665492185,1.051010391869051,1.181642244954382,Q1
CARL,36,1349,1531,2916,0.5250342935528121,154962,0.018817516552445117,1.0417242557712512,1.6123859552115012,Q1
POCO,46,2070,2278,4394,0.5184342284934,154962,0.028355338728204334,1.028629020000016,2.4296378213989493,Q1
BEA,122,3504,3833,7459,0.5138758546722081,154962,0.04813438133219757,1.0195847182568374,4.124412496544097,Q1
CHESTER,57,1929,2080,4066,0.5115592720118052,154962,0.0262386907758031,1.0149883702135298,2.2482720486591097,Q1
MAX,65,2520,2662,5247,0.5073375262054507,154962,0.03385991404344291,1.0066119744957944,2.901299419408349,Q1
NITA,32,1064,1123,2219,0.5060838215412348,154962,0.014319639653592493,1.0041244902031976,1.2269836881393419,Q1
BULL,13,1011,1045,2069,0.5050749154180764,154962,0.013351660407067539,1.0021227124275436,1.1440420237766102,Q1
