brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,20,696,1092,1808,0.6039823008849557,118734,0.01522731483820978,1.2293084046947234,1.5466210436270318,Q1
OTIS,32,640,945,1617,0.5844155844155844,118734,0.013618677042801557,1.1894835141758562,1.3832335329341319,Q1
ASH,45,1608,2279,3932,0.5796032553407935,118734,0.03311604089814207,1.1796887957393567,3.3635585970915316,Q1
BEA,65,2005,2643,4713,0.5607893061744113,118734,0.0396937692657537,1.1413960414618793,4.031650983746792,Q1
ROSA,30,1080,1399,2509,0.5575926664009565,118734,0.021131268212980274,1.1348897975959058,2.1462788708297693,Q1
EMZ,43,1175,1509,2727,0.5533553355335533,118734,0.022967305068472384,1.1262653951239479,2.332763045337896,Q1
MAX,14,1141,1378,2533,0.544018949861824,118734,0.021333400710832617,1.1072626903113867,2.166809238665526,Q1
NITA,62,2052,2464,4578,0.5382262996941896,118734,0.03855677396533427,1.0954726866538365,3.9161676646706587,Q1
SAM,23,950,1134,2107,0.5382059800664452,118734,0.017745548873953545,1.0954313293340443,1.8023952095808387,Q1
JACKY,73,2961,3271,6305,0.5187946074544013,118734,0.0531018916232924,1.0559226161421462,5.393498716852011,Q1
POCO,29,1349,1471,2849,0.5163215163215163,118734,0.023994811932555125,1.050889038650261,2.4371257485029942,Q1
SPIKE,43,1091,1190,2324,0.5120481927710844,118734,0.019573163542035137,1.0421913788863426,1.9880239520958085,Q1
RICO,48,1610,1667,3325,0.5013533834586467,118734,0.02800377313995991,1.0204238221961486,2.8443113772455093,Q1
BUSTER,17,880,891,1788,0.4983221476510067,118734,0.015058871089999495,1.0142542313828358,1.529512403763901,Q1
BULL,29,1893,1898,3820,0.4968586387434555,118734,0.03217275590816447,1.0112754954202716,3.267750213857999,Q1
SURGE,91,3045,3039,6175,0.49214574898785424,118734,0.05200700725992555,1.0016831696543154,5.28229255774166,Q1
