brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,27,625,1032,1684,0.6128266033254157,74093,0.022728192946702117,1.2140431663307574,1.7210015329586101,Q1
OTIS,18,388,633,1039,0.6092396535129933,74093,0.014022917144669536,1.2069372217061072,1.0618293306080735,Q1
ASH,10,538,712,1260,0.5650793650793651,74093,0.017005655055133413,1.1194532644086908,1.2876852324987225,Q1
SAM,12,646,787,1445,0.5446366782006921,74093,0.019502517106879193,1.0789551786992593,1.476750127746551,Q1
CARL,16,519,624,1159,0.5383951682484901,74093,0.01564250334039653,1.0665904046115513,1.1844660194174756,Q1
GRAY,13,603,713,1329,0.5364936042136945,74093,0.017936917117676435,1.0628233017977102,1.3582013285641288,Q1
EMZ,14,508,595,1117,0.5326768128916741,74093,0.015075648171892081,1.0552620285163854,1.141543178334185,Q1
JACKY,17,739,860,1616,0.5321782178217822,74093,0.021810427435790154,1.054274284293005,1.6515074092999489,Q1
CHESTER,27,1002,1154,2183,0.5286303252404947,74093,0.02946297221060019,1.0472457141888112,2.230965763924374,Q1
FANG,10,773,859,1642,0.523142509135201,74093,0.02216133777819767,1.0363740490154019,1.6780786918753192,Q1
MAX,19,874,970,1863,0.5206655931293612,74093,0.025144075688661546,1.0314671423404183,1.9039345937659682,Q1
POCO,11,602,653,1266,0.5157977883096366,74093,0.017086634364919764,1.021823753583549,1.2938170669391926,Q1
BEA,23,653,697,1373,0.507647487254188,74093,0.018530765389442996,1.005677559462385,1.4031681144609094,Q1
RICO,17,472,504,993,0.5075528700906344,74093,0.013402075769640857,1.0054901176636666,1.0148185998978028,Q1
DARRYL,6,688,709,1403,0.5053456878118318,74093,0.018935661938374745,1.0011175683195517,1.43382728666326,Q1
