brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,42,1386,2348,3776,0.621822033898305,194628,0.019401113919888198,1.2371110341588405,1.7305224564619617,Q1
BARLEY,48,1066,1628,2742,0.5937272064186725,194628,0.014088414822122202,1.181216551198903,1.2566452795600367,Q1
OTIS,36,888,1328,2252,0.5896980461811723,194628,0.011570791458577388,1.1732005621916355,1.0320806599450045,Q1
ASH,54,1599,2207,3860,0.5717616580310881,194628,0.019832706496495878,1.1375162305279334,1.7690192483959668,Q1
SAM,46,1486,1998,3530,0.5660056657223796,194628,0.018137164231251415,1.126064719951836,1.617781851512374,Q1
JESSIE,27,1012,1305,2344,0.556740614334471,194628,0.012043488090100089,1.107631958358983,1.074243813015582,Q1
GRAY,36,1201,1499,2736,0.5478801169590644,194628,0.01405758678093594,1.0900040544351994,1.2538955087076078,Q1
BEA,154,4173,4870,9197,0.5295204958138523,194628,0.04725424913167684,1.0534777033837146,4.214940421631531,Q1
JACKY,86,2411,2708,5205,0.5202689721421709,194628,0.026743325729083174,1.0350718550974018,2.3854262144821266,Q1
NITA,81,2725,3020,5826,0.5183659457603845,194628,0.029934027991861397,1.031285796053395,2.6700274977085243,Q1
MAX,77,2585,2829,5491,0.5152067018757968,194628,0.028212795692295047,1.025000500171034,2.516498625114574,Q1
CARL,28,1181,1277,2486,0.5136765888978279,194628,0.012773085064841646,1.0219563500036817,1.1393217231897341,Q1
POCO,40,1728,1848,3616,0.5110619469026548,194628,0.01857903282158785,1.0167545361626291,1.6571952337305225,Q1
EMZ,39,1239,1316,2594,0.5073245952197378,194628,0.01332798980619438,1.0093190984434426,1.1888175985334555,Q1
STU,101,3398,3586,7085,0.5061397318278053,194628,0.03640277863411225,1.0069618201608745,3.247021081576535,Q1
