brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
GRAY,0,166,325,491,0.6619144602851323,29454,0.01667006179126774,1.330163030238065,1.3968705547652918,Q1
GUS,0,211,346,557,0.6211849192100538,29454,0.018910844027975826,1.2483141917139837,1.5846372688477952,Q1
OTIS,0,144,236,380,0.6210526315789474,29454,0.012901473484076866,1.2480483505414255,1.0810810810810811,Q1
ASH,0,403,654,1057,0.618732261116367,29454,0.03588646703334012,1.2433854051142303,3.007112375533428,Q1
CARL,0,297,472,769,0.6137841352405722,29454,0.02610850818225029,1.233441802875791,2.1877667140825037,Q1
MANDY,0,283,448,731,0.612859097127223,29454,0.024818360833842604,1.2315828746097304,2.079658605974396,Q1
SPIKE,0,359,470,829,0.5669481302774427,29454,0.028145582942894005,1.1393216015144783,2.35846372688478,Q1
PENNY,0,356,465,821,0.5663824604141291,29454,0.027873972974808175,1.138184848679111,2.3357041251778097,Q1
SANDY,0,246,318,564,0.5638297872340425,29454,0.019148502750050925,1.1330550748243917,1.604551920341394,Q1
MAX,0,323,413,736,0.561141304347826,29454,0.024988117063896247,1.1276523819429998,2.093883357041252,Q1
GRIFF,0,236,274,510,0.5372549019607843,29454,0.017315135465471584,1.079650999155643,1.450924608819346,Q1
NITA,0,604,701,1305,0.5371647509578544,29454,0.04430637604400081,1.07946983446076,3.712660028449502,Q1
SURGE,0,647,732,1379,0.5308194343727338,29454,0.04681876824879473,1.0667184805576468,3.9231863442389763,Q1
BUZZ,0,258,278,536,0.5186567164179104,29454,0.018197867861750525,1.0422766550024996,1.5248933143669985,Q1
BEA,0,307,329,636,0.5172955974842768,29454,0.021592992462823386,1.0395413920736662,1.8093883357041254,Q1
STU,0,369,395,764,0.5170157068062827,29454,0.025938751952196644,1.0389789323379843,2.1735419630156474,Q1
BUSTER,0,249,266,515,0.516504854368932,29454,0.017484891695525227,1.0379523389232126,1.4651493598862022,Q1
FANG,0,322,324,646,0.5015479876160991,29454,0.02193250492293067,1.0078954775060365,1.837837837837838,Q1
