brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
RUFFS,0,359,632,991,0.6377396569122099,42246,0.023457842162571605,1.296661123378624,1.8051001821493626,Q1
GUS,0,283,482,765,0.6300653594771242,42246,0.018108223263740945,1.2810576353009022,1.3934426229508197,Q1
MANDY,0,429,672,1101,0.6103542234332425,42246,0.02606163897173697,1.2409806798713503,2.005464480874317,Q1
GRAY,0,309,484,793,0.6103404791929382,42246,0.018771007906073948,1.2409527348911693,1.4444444444444444,Q1
BARLEY,0,359,558,917,0.608505997818975,42246,0.021706197036405812,1.2372228418958091,1.6703096539162112,Q1
SQUEAK,0,263,348,611,0.5695581014729951,42246,0.014462907730909436,1.1580334383800661,1.1129326047358836,Q1
CARL,0,435,567,1002,0.5658682634730539,42246,0.02371822184348814,1.150531208537164,1.825136612021858,Q1
STU,0,789,1008,1797,0.5609348914858097,42246,0.042536571509728734,1.1405006081288451,3.2732240437158473,Q1
PENNY,0,714,908,1622,0.55980271270037,42246,0.03839416749514747,1.1381986465056624,2.9544626593806926,Q1
SURGE,0,632,738,1370,0.5386861313868613,42246,0.032429105714150454,1.0952641202438598,2.4954462659380696,Q1
GRIFF,0,444,494,938,0.5266524520255863,42246,0.022203285518155567,1.0707970763179449,1.70856102003643,Q1
CHESTER,0,458,508,966,0.525879917184265,42246,0.022866070160488566,1.0692263477544321,1.7595628415300546,Q1
NITA,0,397,440,837,0.5256869772998806,42246,0.019812526629740094,1.0688340597031578,1.5245901639344264,Q1
GROM,0,400,441,841,0.5243757431629013,42246,0.01990721015007338,1.0661680402536224,1.5318761384335156,Q1
GENE,0,777,834,1611,0.5176908752327747,42246,0.038133787814230935,1.0525762739804,2.934426229508197,Q1
DYNAMIKE,0,653,678,1331,0.5093914350112697,42246,0.03150594139090091,1.035701736911253,2.424408014571949,Q1
BEA,0,407,418,825,0.5066666666666667,42246,0.019528476068740235,1.0301617000884435,1.5027322404371586,Q1
MAX,0,407,408,815,0.5006134969325153,42246,0.01929176726790702,1.0178543113563567,1.4845173041894353,Q1
