brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
AMBER,0,249,428,677,0.6322008862629247,24768,0.027333656330749353,1.302362494330236,2.930735930735931,Q1
JANET,0,175,299,474,0.630801687763713,24768,0.019137596899224806,1.2994800819719299,2.051948051948052,Q1
OTIS,0,123,208,331,0.6283987915407855,24768,0.013364018087855298,1.294530006787747,1.4329004329004331,Q1
PENNY,0,288,476,764,0.6230366492146597,24768,0.030846253229974162,1.283483750437036,3.3073593073593077,Q1
MANDY,0,150,232,382,0.6073298429319371,24768,0.015423126614987081,1.251127017232741,1.6536796536796539,Q1
GRAY,0,125,173,298,0.5805369127516778,24768,0.012031653746770026,1.195932366073289,1.29004329004329,Q1
BEA,0,130,175,305,0.5737704918032787,24768,0.012314276485788114,1.1819932320803948,1.3203463203463204,Q1
ROSA,0,201,263,464,0.5668103448275862,24768,0.018733850129198967,1.167655013686316,2.008658008658009,Q1
ASH,0,312,392,704,0.5568181818181818,24768,0.028423772609819122,1.1470707047689284,3.047619047619048,Q1
SANDY,0,203,254,457,0.5557986870897156,24768,0.018451227390180878,1.1449704993969139,1.9783549783549785,Q1
CHESTER,0,459,528,987,0.5349544072948328,24768,0.03984980620155039,1.10203033778681,4.272727272727273,Q1
PAM,0,137,153,290,0.5275862068965518,24768,0.011708656330749355,1.0868515108380616,1.2554112554112555,Q1
MAX,0,175,195,370,0.527027027027027,24768,0.014938630490956072,1.0856995749495206,1.601731601731602,Q1
SPIKE,0,282,307,589,0.5212224108658744,24768,0.023780684754521962,1.0737418024336431,2.54978354978355,Q1
CROW,0,826,897,1723,0.5206035983749274,24768,0.0695655684754522,1.0724670206407918,7.45887445887446,Q1
TARA,0,830,883,1713,0.5154699357851722,24768,0.06916182170542635,1.0618914429079527,7.415584415584416,Q1
SQUEAK,0,116,121,237,0.510548523206751,24768,0.009568798449612403,1.051753109823435,1.025974025974026,Q1
BO,0,610,611,1221,0.5004095004095004,24768,0.049297480620155036,1.0308662630833834,5.285714285714286,Q1
GENE,0,788,771,1559,0.49454778704297625,24768,0.06294412144702842,1.018790867735234,6.748917748917749,Q1
BUSTER,0,268,259,527,0.49146110056925996,24768,0.021277454780361756,1.012432153626357,2.2813852813852815,Q1
JESSIE,0,187,179,366,0.4890710382513661,24768,0.014777131782945737,1.007508516868527,1.5844155844155845,Q1
