brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
ASH,0,261,465,726,0.640495867768595,18906,0.03840050777530943,1.3507736114587223,3.5072463768115942,Q1
OTIS,0,98,152,250,0.608,18906,0.013223315349624457,1.2822414586812294,1.2077294685990336,Q1
GRAY,0,105,159,264,0.6022727272727273,18906,0.013963821009203427,1.2701629281942501,1.2753623188405796,Q1
ROSA,0,262,370,632,0.5854430379746836,18906,0.03342854120385063,1.2346699588609025,3.0531400966183573,Q1
PAM,0,117,152,269,0.5650557620817844,18906,0.014228287316195916,1.191674218105232,1.2995169082125602,Q1
RICO,0,280,338,618,0.5469255663430421,18906,0.03268803554427166,1.1534385460160523,2.9855072463768115,Q1
MANDY,0,157,188,345,0.5449275362318841,18906,0.01824817518248175,1.149224800877532,1.6666666666666665,Q1
MAX,0,141,168,309,0.5436893203883495,18906,0.01634401777213583,1.1466134658621112,1.4927536231884058,Q1
PENNY,0,129,151,280,0.5392857142857143,18906,0.014810113191579393,1.1373264817954982,1.3526570048309179,Q1
POCO,0,319,360,679,0.5301914580265096,18906,0.035914524489580026,1.1181471521714466,3.2801932367149753,Q1
CHESTER,0,338,370,708,0.5225988700564972,18906,0.037448429070136464,1.1021347655368507,3.4202898550724634,Q1
BUSTER,0,178,191,369,0.5176151761517616,18906,0.0195176134560457,1.0916244054348294,1.7826086956521738,Q1
CROW,0,565,606,1171,0.5175064047822374,18906,0.06193800909764096,1.0913950120803535,5.657004830917874,Q1
NITA,0,229,243,472,0.5148305084745762,18906,0.024965619380090977,1.0857516811842758,2.2801932367149758,Q1
TARA,0,590,620,1210,0.512396694214876,18906,0.06400084629218238,1.0806188891669777,5.845410628019323,Q1
BULL,0,112,113,225,0.5022222222222222,18906,0.011900983814662012,1.0591614388229453,1.0869565217391304,Q1
BUZZ,0,186,187,373,0.5013404825737265,18906,0.01972918650163969,1.0573018941961951,1.8019323671497582,Q1
GRIFF,0,173,166,339,0.4896755162241888,18906,0.017930815614090764,1.0327010661246512,1.6376811594202896,Q1
GENE,0,313,299,612,0.48856209150326796,18906,0.03237067597588067,1.0303529093182608,2.956521739130434,Q1
SAM,0,122,112,234,0.47863247863247865,18906,0.012377023167248492,1.0094118545623714,1.1304347826086956,Q1
BO,0,340,309,649,0.4761171032357473,18906,0.034327726647625095,1.004107054204089,3.135265700483092,Q1
