brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
8-BIT,0,447,865,1312,0.6592987804878049,48960,0.02679738562091503,1.3585077768502407,2.4569288389513106,Q1
RUFFS,0,547,973,1520,0.6401315789473684,48960,0.03104575163398693,1.3190130998938034,2.8464419475655434,Q1
SAM,0,249,418,667,0.6266866566716641,48960,0.013623366013071896,1.2913093758596452,1.249063670411985,Q1
MANDY,0,412,598,1010,0.592079207920792,48960,0.02062908496732026,1.21999953932359,1.8913857677902621,Q1
CARL,0,460,661,1121,0.5896520963425513,48960,0.022896241830065358,1.2149983925720615,2.099250936329588,Q1
OTIS,0,225,313,538,0.5817843866171004,48960,0.010988562091503269,1.1987867065135538,1.00749063670412,Q1
ASH,0,732,1016,1748,0.5812356979405034,48960,0.035702614379084965,1.19765611465401,3.2734082397003745,Q1
GUS,0,293,385,678,0.5678466076696165,48960,0.013848039215686274,1.1700674343829924,1.2696629213483146,Q1
JANET,0,248,307,555,0.5531531531531532,48960,0.01133578431372549,1.1397910667934124,1.0393258426966292,Q1
PENNY,0,510,609,1119,0.5442359249329759,48960,0.022855392156862744,1.1214168118371144,2.095505617977528,Q1
STU,0,531,614,1145,0.5362445414847161,48960,0.023386437908496732,1.104950291825928,2.1441947565543074,Q1
ROSA,0,322,363,685,0.5299270072992701,48960,0.013991013071895425,1.0919327956990648,1.2827715355805245,Q1
RICO,0,2221,2485,4706,0.5280492987675308,48960,0.09611928104575164,1.0880637127907988,8.812734082397006,Q1
MAX,0,547,599,1146,0.5226876090750436,48960,0.02340686274509804,1.0770157670644132,2.146067415730337,Q1
PIPER,0,749,808,1557,0.518946692357097,48960,0.03180147058823529,1.0693074797077773,2.9157303370786516,Q1
BELLE,0,368,378,746,0.5067024128686327,48960,0.015236928104575163,1.0440777213655892,1.3970037453183521,Q1
BUZZ,0,432,437,869,0.5028768699654775,48960,0.017749183006535947,1.0361950588483533,1.6273408239700375,Q1
CHESTER,0,397,401,798,0.5025062656641605,48960,0.01629901960784314,1.0354314159593114,1.4943820224719102,Q1
SURGE,0,928,913,1841,0.4959261271048343,48960,0.037602124183006534,1.021872814502499,3.447565543071161,Q1
GRIFF,0,289,283,572,0.49475524475524474,48960,0.011683006535947713,1.0194601712142508,1.0711610486891388,Q1
NITA,0,567,543,1110,0.4891891891891892,48960,0.02267156862745098,1.0079911225876594,2.0786516853932584,Q1
