brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
OTIS,1,124,270,395,0.6835443037974683,30396,0.012995130938281352,1.3478249291689395,1.1366906474820142,Q1
BONNIE,0,123,247,370,0.6675675675675675,30396,0.012172654296617976,1.3163217138575332,1.064748201438849,Q1
MEG,0,129,254,383,0.6631853785900783,30396,0.012600342150282932,1.3076808349629598,1.102158273381295,Q1
LOLA,1,126,247,374,0.660427807486631,30396,0.012304250559284116,1.3022434067574526,1.0762589928057553,Q1
GUS,0,201,369,570,0.6473684210526316,30396,0.01875246742992499,1.276492674145671,1.6402877697841725,Q1
JANET,0,169,284,453,0.6269315673289183,30396,0.014903276746940386,1.2361949190922379,1.303597122302158,Q1
MANDY,0,496,832,1328,0.6265060240963856,30396,0.04368995920515857,1.2353558253070065,3.8215827338129493,Q1
GRAY,0,249,398,647,0.615146831530139,30396,0.02128569548624819,1.2129575654854252,1.8618705035971224,Q1
8-BIT,0,172,237,409,0.5794621026894865,30396,0.013455717857612844,1.142593776547589,1.176978417266187,Q1
CARL,0,462,612,1074,0.5698324022346368,30396,0.035333596525858664,1.1236057603189855,3.090647482014388,Q1
FANG,0,236,303,539,0.562152133580705,30396,0.017732596394262404,1.1084616687114994,1.5510791366906476,Q1
SPIKE,1,469,595,1065,0.5586854460093896,30396,0.03503750493485985,1.1016259919246392,3.064748201438849,Q1
BELLE,0,302,370,672,0.5505952380952381,30396,0.022108172127911566,1.08567357472465,1.9338129496402876,Q1
PIPER,0,542,633,1175,0.5387234042553192,30396,0.038656402158178706,1.06226447963674,3.381294964028777,Q1
MAX,0,299,347,646,0.5371517027863777,30396,0.021252796420581657,1.0591653704652029,1.8589928057553957,Q1
STU,0,278,315,593,0.5311973018549747,30396,0.019509145940255296,1.0474243758156598,1.7064748201438846,Q1
CHESTER,0,353,398,751,0.5299600532623169,30396,0.02470719831556784,1.044984746829654,2.161151079136691,Q1
PENNY,0,363,397,760,0.5223684210526316,30396,0.025003289906566653,1.0300154301541289,2.18705035971223,Q1
SQUEAK,0,285,309,594,0.5202020202020202,30396,0.019542045005921833,1.025743682065812,1.7093525179856115,Q1
CROW,0,822,874,1696,0.5153301886792453,30396,0.05579681537044348,1.0161373172104144,4.880575539568345,Q1
