brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
PAM,0,245,457,702,0.6509971509971509,33870,0.020726306465899024,1.313197769512916,1.7121951219512195,Q1
8-BIT,0,148,264,412,0.6407766990291263,33870,0.012164157071154414,1.292580974635602,1.0048780487804878,Q1
MANDY,0,287,455,742,0.6132075471698113,33870,0.021907292589312077,1.2369682140059113,1.8097560975609759,Q1
AMBER,0,218,336,554,0.6064981949458483,33870,0.01635665780927074,1.2234340435999593,1.351219512195122,Q1
JANET,0,182,275,457,0.6017505470459519,33870,0.013492766459994095,1.2138570421906183,1.1146341463414635,Q1
SANDY,0,182,255,437,0.5835240274599542,33870,0.01290227339828757,1.1770903300327331,1.0658536585365854,Q1
RICO,0,177,237,414,0.572463768115942,33870,0.012223206377325066,1.1547794675680603,1.0097560975609756,Q1
ASH,0,375,500,875,0.5714285714285714,33870,0.025834071449660465,1.1526912587659481,2.1341463414634148,Q1
NITA,0,400,503,903,0.5570321151716501,33870,0.0266607617360496,1.123650587517969,2.202439024390244,Q1
MAX,0,284,355,639,0.5555555555555556,33870,0.01886625332152347,1.1206720571335607,1.5585365853658537,Q1
PENNY,0,353,440,793,0.5548549810844893,33870,0.023413049896663714,1.1192588515129636,1.9341463414634148,Q1
SPIKE,0,387,447,834,0.5359712230215827,33870,0.02462356067316209,1.0811663515223777,2.0341463414634147,Q1
PIPER,0,443,497,940,0.5287234042553192,33870,0.027753173900206672,1.0665459811826419,2.2926829268292686,Q1
TARA,0,911,968,1879,0.515167642362959,33870,0.05547682314732802,1.0392011667639787,4.582926829268293,Q1
CHESTER,0,524,533,1057,0.5042573320719016,33870,0.031207558311189845,1.0171927829838583,2.578048780487805,Q1
BUZZ,0,292,290,582,0.49828178694158076,33870,0.017183348095659877,1.0051388553672143,1.4195121951219514,Q1
CARL,0,250,248,498,0.4979919678714859,33870,0.01470327723649247,1.0045542295269507,1.2146341463414634,Q1
