brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MEG,2,202,299,503,0.5944333996023857,31746,0.015844515844515846,1.3743997115839457,3.618705035971223,Q1
NANI,0,299,414,713,0.5806451612903226,31746,0.02245952245952246,1.3425196880657078,5.129496402877698,Q1
BONNIE,0,342,465,807,0.5762081784386617,31746,0.02542052542052542,1.332260863518324,5.805755395683453,Q1
SAM,2,340,462,804,0.5746268656716418,31746,0.025326025326025327,1.3286046830069835,5.784172661870503,Q1
8-BIT,4,765,1020,1789,0.5701509223029626,31746,0.05635355635355636,1.3182557771765009,12.870503597122301,Q1
GROM,3,713,933,1649,0.5657974530018193,31746,0.05194355194355194,1.308190045749089,11.863309352517984,Q1
EVE,3,559,712,1274,0.5588697017268446,31746,0.04013104013104013,1.292172272587925,9.165467625899279,Q1
LOLA,2,593,749,1344,0.5572916666666666,31746,0.04233604233604234,1.2885236705190832,9.669064748201437,Q1
MANDY,3,718,832,1553,0.5357372826786864,31746,0.048919548919548916,1.2386874076908754,11.172661870503596,Q1
AMBER,0,181,206,387,0.5322997416020672,31746,0.01219051219051219,1.230739409702499,2.784172661870503,Q1
COLETTE,2,951,1080,2033,0.5312346286276439,31746,0.06403956403956404,1.2282767436311934,14.625899280575538,Q1
GUS,0,72,73,145,0.503448275862069,31746,0.004567504567504568,1.1640314383496921,1.0431654676258992,Q1
COLT,8,2490,2529,5027,0.5030833499104834,31746,0.15835065835065834,1.1631876867655042,36.165467625899275,Q1
MAX,1,672,671,1344,0.4992559523809524,31746,0.04233604233604234,1.154338294951008,9.669064748201437,Q1
OTIS,0,116,113,229,0.49344978165938863,31746,0.007213507213507214,1.1409137475240596,1.6474820143884892,Q1
BELLE,6,754,740,1500,0.49333333333333335,31746,0.04725004725004725,1.140644505341753,10.791366906474819,Q1
BUZZ,0,128,121,249,0.4859437751004016,31746,0.007843507843507843,1.123558980351287,1.7913669064748199,Q1
PIPER,7,1167,1077,2251,0.47845402043536206,31746,0.0709065709065709,1.1062417894627026,16.194244604316545,Q1
BEA,1,574,497,1072,0.46361940298507465,31746,0.03376803376803377,1.0719424146988161,7.712230215827338,Q1
SPIKE,0,215,183,398,0.45979899497487436,31746,0.012537012537012537,1.0631091834724677,2.863309352517985,Q1
DARRYL,1,158,135,294,0.45918367346938777,31746,0.009261009261009262,1.0616864880111463,2.1151079136690645,Q1
FANG,0,93,76,169,0.44970414201183434,31746,0.005323505323505323,1.039768699895729,1.2158273381294962,Q1
BIBI,0,107,87,194,0.4484536082474227,31746,0.006111006111006111,1.0368773192191334,1.3956834532374098,Q1
BROCK,6,1083,873,1962,0.44495412844036697,31746,0.061803061803061804,1.0287861116242565,14.115107913669064,Q1
PENNY,0,102,78,180,0.43333333333333335,31746,0.00567000567000567,1.0019174709082967,1.2949640287769784,Q1
GRIFF,0,89,68,157,0.43312101910828027,31746,0.004945504945504946,1.0014265755281357,1.129496402877698,Q1
