brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
CARL,0,74,100,174,0.5747126436781609,19128,0.009096612296110414,1.26075512596492,2.32,Q1
BARLEY,0,363,485,848,0.5719339622641509,19128,0.044332915098285235,1.2546594938700424,11.306666666666665,Q1
SAM,1,171,226,398,0.5678391959798995,19128,0.02080719364282727,1.2456767480764954,5.306666666666666,Q1
BEA,0,90,117,207,0.5652173913043478,19128,0.010821831869510665,1.2399252586663692,2.76,Q1
MANDY,0,70,88,158,0.5569620253164557,19128,0.008260142199916352,1.2218153473908135,2.1066666666666665,Q1
BUZZ,1,215,257,473,0.5433403805496829,19128,0.02472814721873693,1.191933355663833,6.306666666666666,Q1
DARRYL,0,449,523,972,0.5380658436213992,19128,0.05081555834378921,1.1803625305870336,12.959999999999999,Q1
EMZ,2,560,654,1216,0.537828947368421,19128,0.06357172731074864,1.1798428479794738,16.21333333333333,Q1
LOLA,0,64,72,136,0.5294117647058824,19128,0.007109995817649519,1.161377957212391,1.8133333333333332,Q1
DYNAMIKE,2,851,934,1787,0.5226636821488528,19128,0.0934232538686742,1.1465745945792667,23.826666666666664,Q1
NITA,1,844,896,1741,0.514646754738656,19128,0.09101840234211626,1.1289877493304703,23.21333333333333,Q1
BIBI,4,861,898,1763,0.5093590470788428,19128,0.0921685487243831,1.1173880314365892,23.506666666666664,Q1
COLETTE,0,297,305,602,0.5066445182724253,19128,0.031472187369301546,1.1114331318099386,8.026666666666666,Q1
BULL,2,611,624,1237,0.5044462409054163,19128,0.06466959431200335,1.1066107401517151,16.493333333333332,Q1
GRIFF,0,183,186,369,0.5040650406504065,19128,0.019291091593475532,1.1057744958463054,4.919999999999999,Q1
COLT,2,839,836,1677,0.49850924269528923,19128,0.08767252195734003,1.0935866645400187,22.36,Q1
RICO,0,453,448,901,0.4972253052164262,19128,0.047103722291928066,1.0907700730212813,12.013333333333334,Q1
GROM,0,88,85,173,0.4913294797687861,19128,0.009044332915098286,1.0778363186717437,2.3066666666666666,Q1
SURGE,0,90,86,176,0.48863636363636365,19128,0.009201171058134672,1.0719283923260832,2.3466666666666667,Q1
EDGAR,0,236,222,458,0.4847161572052402,19128,0.023943956503555,1.0633285809120727,6.1066666666666665,Q1
MAX,0,55,47,102,0.46078431372549017,19128,0.00533249686323714,1.0108289627589329,1.36,Q1
SPIKE,0,124,104,228,0.45614035087719296,19128,0.01191969887076537,1.0006414368184733,3.04,Q1
