brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MEG,0,38,99,137,0.7226277372262774,12288,0.011149088541666666,1.5616168255011502,1.256880733944954,Q1
LOLA,1,148,305,454,0.6718061674008811,12288,0.036946614583333336,1.4517901271206684,4.165137614678899,Q1
MANDY,0,109,214,323,0.6625386996904025,12288,0.026285807291666668,1.4317628948945404,2.9633027522935778,Q1
AMBER,0,99,161,260,0.6192307692307693,12288,0.021158854166666668,1.3381733613084255,2.385321100917431,Q1
BONNIE,0,62,95,157,0.6050955414012739,12288,0.012776692708333334,1.3076267762914153,1.4403669724770642,Q1
COLETTE,2,524,793,1319,0.601213040181956,12288,0.10734049479166667,1.2992365929137504,12.100917431192661,Q1
BYRON,1,59,90,150,0.6,12288,0.01220703125,1.2966151823858034,1.3761467889908257,Q1
MAX,1,143,196,340,0.5764705882352941,12288,0.027669270833333332,1.2457675281745955,3.119266055045871,Q1
NANI,1,62,80,143,0.5594405594405595,12288,0.011637369791666666,1.2089652050217283,1.311926605504587,Q1
BEA,1,166,210,377,0.5570291777188329,12288,0.030680338541666668,1.203754148103531,3.458715596330275,Q1
CARL,1,121,146,268,0.5447761194029851,12288,0.021809895833333332,1.1772749790318862,2.458715596330275,Q1
PIPER,0,122,139,261,0.5325670498084292,12288,0.021240234375,1.1508908707000427,2.3944954128440363,Q1
EVE,1,110,118,229,0.5152838427947598,12288,0.018636067708333332,1.1135414230096419,2.10091743119266,Q1
BROCK,2,478,508,988,0.5141700404858299,12288,0.08040364583333333,1.1111344680364172,9.064220183486237,Q1
8-BIT,1,150,159,310,0.5129032258064516,12288,0.025227864583333332,1.108396849458832,2.8440366972477062,Q1
BUZZ,1,60,60,121,0.49586776859504134,12288,0.009847005208333334,1.0715827953601682,1.110091743119266,Q1
COLT,3,711,680,1394,0.4878048780487805,12288,0.11344401041666667,1.0541586848665068,12.788990825688073,Q1
CROW,2,221,212,435,0.48735632183908045,12288,0.035400390625,1.0531893435470894,3.9908256880733943,Q1
GROM,0,116,109,225,0.48444444444444446,12288,0.018310546875,1.0468967028152043,2.0642201834862384,Q1
GRIFF,0,97,91,188,0.48404255319148937,12288,0.015299479166666666,1.0460282056481216,1.7247706422018347,Q1
BELLE,1,128,121,250,0.484,12288,0.020345052083333332,1.0459362471245481,2.2935779816513757,Q1
SPIKE,0,142,126,268,0.4701492537313433,12288,0.021809895833333332,1.016004433959025,2.458715596330275,Q1
CHESTER,1,72,64,137,0.46715328467153283,12288,0.011149088541666666,1.0095300690108444,1.256880733944954,Q1
