brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
BEA,0,17,56,73,0.7671232876712328,10788,0.0067667779013718945,2.0637653048854405,2.8627450980392157,Q1
BARLEY,0,166,253,419,0.60381861575179,10788,0.038839451242120876,1.6244323821995057,16.43137254901961,Q1
FRANK,0,60,89,149,0.5973154362416108,10788,0.013811642565813867,1.6069371028092891,5.8431372549019605,Q1
EL PRIMO,1,255,360,616,0.5844155844155844,10788,0.05710048201705599,1.5722330766578552,24.15686274509804,Q1
BUZZ,0,284,385,669,0.5754857997010463,10788,0.06201334816462736,1.548209585036443,26.235294117647058,Q1
SURGE,0,75,100,175,0.5714285714285714,10788,0.01622172784575454,1.5372945638432363,6.862745098039215,Q1
DARRYL,2,330,430,762,0.5643044619422573,10788,0.07063403781979978,1.5181288179685504,29.88235294117647,Q1
SAM,0,129,163,292,0.5582191780821918,10788,0.027067111605487578,1.5017577888228877,11.450980392156863,Q1
SQUEAK,0,15,18,33,0.5454545454545454,10788,0.0030589543937708566,1.4674175382139982,1.2941176470588236,Q1
EMZ,0,111,132,243,0.5432098765432098,10788,0.022525027808676306,1.461378782912706,9.529411764705882,Q1
EDGAR,1,310,368,679,0.5419734904270986,10788,0.06294030404152762,1.4580525760162653,26.627450980392155,Q1
CARL,0,45,52,97,0.5360824742268041,10788,0.008991472005932517,1.4422041784508712,3.803921568627451,Q1
RUFFS,0,20,23,43,0.5348837209302325,10788,0.003985910270671116,1.438979213830006,1.6862745098039216,Q1
GRIFF,0,100,106,206,0.5145631067961165,10788,0.019095291064145346,1.384311366955924,8.07843137254902,Q1
COLT,1,314,328,643,0.5101088646967341,10788,0.05960326288468669,1.372328273166435,25.215686274509803,Q1
BIBI,0,634,638,1272,0.5015723270440252,10788,0.11790878754171301,1.3493627205432182,49.88235294117647,Q1
BULL,3,652,615,1270,0.484251968503937,10788,0.11772339636633296,1.3027663577451047,49.80392156862745,Q1
NITA,1,640,535,1176,0.4549319727891156,10788,0.10901001112347053,1.2238877852025765,46.11764705882353,Q1
SPIKE,0,61,49,110,0.44545454545454544,10788,0.010196514645902856,1.198390989541432,4.313725490196079,Q1
RICO,1,167,126,294,0.42857142857142855,10788,0.027252502780867632,1.1529709228824272,11.529411764705882,Q1
DYNAMIKE,0,449,316,765,0.4130718954248366,10788,0.07091212458286986,1.1112730637977903,30.0,Q1
GROM,0,39,27,66,0.4090909090909091,10788,0.006117908787541713,1.1005631536604987,2.588235294117647,Q1
CHESTER,0,73,50,123,0.4065040650406504,10788,0.011401557285873193,1.093603856392546,4.823529411764706,Q1
SHELLY,0,19,13,32,0.40625,10788,0.0029662588060808304,1.092920353982301,1.2549019607843137,Q1
