brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
BONNIE,2,209,415,626,0.6629392971246006,26196,0.02389677813406627,1.4841783142242035,3.9872611464968153,Q1
SAM,1,95,165,261,0.632183908045977,26196,0.009963353183692167,1.4153236216241332,1.6624203821656052,Q1
LOLA,3,190,262,455,0.5758241758241758,26196,0.01736906397923347,1.2891463189330863,2.898089171974522,Q1
RICO,4,790,1074,1868,0.5749464668094219,26196,0.07130859673232555,1.28718131747436,11.898089171974522,Q1
8-BIT,3,286,388,677,0.5731166912850812,26196,0.02584364025041991,1.2830848441397673,4.312101910828026,Q1
COLETTE,3,894,1179,2076,0.5679190751445087,26196,0.07924874026568941,1.271448500970855,13.222929936305732,Q1
BIBI,1,241,299,541,0.5526802218114603,26196,0.020652007940143532,1.2373319902305016,3.445859872611465,Q1
GRIFF,2,155,188,345,0.5449275362318841,26196,0.013169949610627577,1.2199753968529286,2.197452229299363,Q1
MAX,1,313,361,675,0.5348148148148149,26196,0.025767292716445258,1.1973351914976202,4.2993630573248405,Q1
EVE,1,283,324,608,0.5328947368421053,26196,0.023209650328294397,1.1930365504288596,3.872611464968153,Q1
COLT,3,1817,2001,3821,0.5236848992410363,26196,0.14586196365857382,1.1724177074905686,24.337579617834393,Q1
GROM,2,564,611,1177,0.5191163976210705,26196,0.044930523744083066,1.1621898162458337,7.496815286624203,Q1
CARL,1,278,299,578,0.5173010380622838,26196,0.022064437318674607,1.1581256171534626,3.6815286624203822,Q1
BELLE,5,442,465,912,0.5098684210526315,26196,0.03481447549244159,1.1414855883732915,5.808917197452229,Q1
BULL,0,99,99,198,0.5,26196,0.0075584058634906096,1.1193923189209052,1.2611464968152866,Q1
MANDY,5,370,371,746,0.4973190348525469,26196,0.028477630172545426,1.113390215334198,4.751592356687898,Q1
BEA,1,282,271,554,0.4891696750902527,26196,0.021148266910978774,1.0951455538901276,3.5286624203821653,Q1
BUZZ,0,150,139,289,0.4809688581314879,26196,0.011032218659337303,1.0767856908650921,1.8407643312101911,Q1
DARRYL,1,195,180,376,0.4787234042553192,26196,0.014353336387234692,1.0717586032221433,2.394904458598726,Q1
BROCK,6,1295,1170,2471,0.4734925131525698,26196,0.09432737822568331,1.0600477645790847,15.738853503184712,Q1
FANG,3,107,93,203,0.458128078817734,26196,0.007749274698427241,1.025650105021125,1.2929936305732483,Q1
AMBER,1,92,78,171,0.45614035087719296,26196,0.006527714154832799,1.0212000102436327,1.089171974522293,Q1
PIPER,1,520,428,949,0.45100105374077976,26196,0.036226904870972666,1.0096942307653265,6.044585987261146,Q1
