brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
BEA,6,313,480,799,0.6007509386733417,28224,0.02830924036281179,1.4410245816979963,7.910891089108911,Q1
EMZ,14,1477,1956,3447,0.5674499564838991,28224,0.12213010204081633,1.361145332510893,34.12871287128713,Q1
DARRYL,4,505,642,1151,0.5577758470894874,28224,0.040780895691609975,1.3379399930832623,11.396039603960396,Q1
COLETTE,3,284,343,630,0.5444444444444444,28224,0.022321428571428572,1.3059618842143113,6.237623762376238,Q1
BULL,6,951,1094,2051,0.5333983422720624,28224,0.0726686507936508,1.2794655381619826,20.306930693069308,Q1
BIBI,9,1429,1639,3077,0.5326616834579135,28224,0.10902069160997732,1.2776985106116683,30.465346534653467,Q1
GRIFF,5,335,383,723,0.5297372060857538,28224,0.025616496598639456,1.2706835506497112,7.158415841584159,Q1
NITA,11,1908,2150,4069,0.5283853526665028,28224,0.14416808390022676,1.2674408524155722,40.28712871287129,Q1
MANDY,2,92,100,194,0.5154639175257731,28224,0.006873582766439909,1.2364461348547024,1.920792079207921,Q1
CHESTER,1,174,182,357,0.5098039215686274,28224,0.012648809523809524,1.2228694714131607,3.5346534653465347,Q1
BUZZ,3,327,337,667,0.5052473763118441,28224,0.023632369614512472,1.2119396612373425,6.6039603960396045,Q1
FRANK,0,129,129,258,0.5,28224,0.009141156462585034,1.1993527508090616,2.5544554455445545,Q1
TARA,4,206,208,418,0.49760765550239233,28224,0.014810090702947845,1.1936142209008842,4.138613861386139,Q1
SAM,0,191,188,379,0.49604221635883905,28224,0.01342828798185941,1.1898591934147944,3.7524752475247527,Q1
COLT,7,1397,1353,2757,0.49075081610446136,28224,0.0976828231292517,1.177166682513355,27.297029702970296,Q1
8-BIT,0,123,113,236,0.4788135593220339,28224,0.008361678004535147,1.1485327189951182,2.3366336633663365,Q1
CROW,1,165,145,311,0.4662379421221865,28224,0.011018990929705215,1.1183675168316007,3.0792079207920793,Q1
CARL,0,104,86,190,0.45263157894736844,28224,0.006731859410430839,1.0857298586271504,1.8811881188118813,Q1
MAX,0,91,73,164,0.4451219512195122,28224,0.005810657596371882,1.0677164732812376,1.6237623762376237,Q1
SPIKE,2,261,205,468,0.43803418803418803,28224,0.016581632653061226,1.0507150167344341,4.633663366336634,Q1
AMBER,1,71,56,128,0.4375,28224,0.0045351473922902496,1.0494336569579288,1.2673267326732673,Q1
EL PRIMO,2,398,301,701,0.42938659058487877,28224,0.02483701814058957,1.0299719771569973,6.940594059405941,Q1
LOLA,0,63,46,109,0.42201834862385323,28224,0.0038619614512471656,1.0122977346278317,1.0792079207920793,Q1
