brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
OTIS,0,151,273,424,0.6438679245283019,19116,0.02218037246285834,1.3200176777357184,2.179948586118252,Q1
BEA,0,289,500,789,0.6337135614702155,19116,0.04127432517263026,1.29919983880914,4.056555269922879,Q1
LOU,0,221,361,582,0.6202749140893471,19116,0.03044569993722536,1.2716487659387234,2.992287917737789,Q1
SQUEAK,0,198,322,520,0.6192307692307693,19116,0.027202343586524378,1.2695081255698941,2.673521850899743,Q1
ASH,0,227,363,590,0.6152542372881356,19116,0.030864197530864196,1.2613556889281672,3.0334190231362466,Q1
ROSA,0,82,131,213,0.6150234741784038,19116,0.011142498430634024,1.2608825928589098,1.095115681233933,Q1
SAM,0,130,197,327,0.6024464831804281,19116,0.017106089139987447,1.2350980339181714,1.681233933161954,Q1
STU,0,340,502,842,0.5961995249406176,19116,0.04404687173048755,1.2222909115340772,4.32904884318766,Q1
MEG,0,111,153,264,0.5795454545454546,19116,0.013810420590081607,1.1881477798600224,1.3573264781491003,Q1
GRIFF,0,326,432,758,0.5699208443271768,19116,0.039652646997279765,1.1684160070142948,3.897172236503856,Q1
AMBER,0,110,145,255,0.5686274509803921,19116,0.013339610797237916,1.1657643730114482,1.3110539845758356,Q1
BUSTER,0,211,259,470,0.551063829787234,19116,0.024586733626281648,1.129756537278666,2.416452442159383,Q1
PAM,0,149,170,319,0.5329153605015674,19116,0.016687591546348607,1.0925496826299055,1.640102827763496,Q1
POCO,0,559,635,1194,0.5318257956448911,19116,0.06246076585059636,1.0903159250267356,6.138817480719794,Q1
PENNY,0,233,260,493,0.5273833671399595,19116,0.025789914207993304,1.081208336443436,2.5347043701799485,Q1
EMZ,0,477,526,1003,0.5244267198404786,19116,0.05246913580246913,1.0751468033968823,5.156812339331619,Q1
SPIKE,0,253,263,516,0.5096899224806202,19116,0.02699309478970496,1.0449343447742954,2.652956298200514,Q1
CHESTER,0,212,217,429,0.5058275058275058,19116,0.02244193345888261,1.0370158601493205,2.2056555269922877,Q1
BARLEY,0,116,112,228,0.49122807017543857,19116,0.011927181418706842,1.0070850118937373,1.1722365038560412,Q1
SURGE,0,456,438,894,0.4899328859060403,19116,0.04676710608913999,1.0044297062535574,4.5964010282776355,Q1
