brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MEG,0,464,1002,1466,0.6834924965893588,32208,0.04551664182811724,1.5007851508032393,4.919463087248323,Q1
LOU,1,914,1614,2529,0.638196915776987,32208,0.07852086438152012,1.4013269483804884,8.486577181208053,Q1
SQUEAK,1,628,980,1609,0.6090739589807334,32208,0.04995653253849975,1.337379938975993,5.399328859060403,Q1
MANDY,0,139,194,333,0.5825825825825826,32208,0.010339046199701937,1.2792112472623656,1.1174496644295302,Q1
JANET,0,177,245,422,0.580568720379147,32208,0.013102334823646299,1.274789290173207,1.4161073825503356,Q1
CARL,0,294,394,688,0.5726744186046512,32208,0.02136115250869349,1.2574553019608374,2.3087248322147653,Q1
BELLE,1,133,178,312,0.5705128205128205,32208,0.009687034277198211,1.2527089523894637,1.0469798657718121,Q1
GUS,0,129,171,300,0.57,32208,0.009314456035767511,1.2515829218704617,1.0067114093959733,Q1
POCO,0,1485,1913,3398,0.562978222483814,32208,0.10550173869846001,1.2361647870977734,11.40268456375839,Q1
SAM,0,187,239,426,0.5610328638497653,32208,0.013226527570789865,1.2318932473727056,1.429530201342282,Q1
PENNY,2,1135,1425,2562,0.5562060889929742,32208,0.07954545454545454,1.2212948105683663,8.597315436241612,Q1
BEA,2,531,639,1172,0.5452218430034129,32208,0.03638847491306508,1.1971760479540523,3.9328859060402688,Q1
SPROUT,1,242,288,531,0.5423728813559322,32208,0.016486587183308494,1.190920413317121,1.7818791946308725,Q1
AMBER,0,166,189,355,0.532394366197183,32208,0.011022106308991555,1.169009993741128,1.191275167785235,Q1
STU,0,421,460,881,0.5221339387060159,32208,0.02735345255837059,1.1464805624796632,2.9563758389261747,Q1
MAX,0,161,171,332,0.5150602409638554,32208,0.010307998012916045,1.1309484233769234,1.1140939597315438,Q1
PAM,0,156,161,317,0.5078864353312302,32208,0.00984227521112767,1.1151964714214642,1.063758389261745,Q1
GRIFF,0,445,420,865,0.48554913294797686,32208,0.026856681569796325,1.0661491272398214,2.9026845637583896,Q1
SPIKE,0,342,318,660,0.4818181818181818,32208,0.020491803278688523,1.0579568558075674,2.214765100671141,Q1
BUSTER,0,272,241,513,0.4697855750487329,32208,0.015927719821162444,1.0315361450387515,1.721476510067114,Q1
