brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MEG,0,393,819,1212,0.6757425742574258,17556,0.06903622693096377,1.7327221438645979,9.011152416356877,Q1
GRAY,0,57,97,154,0.6298701298701299,17556,0.008771929824561403,1.6150971736303188,1.1449814126394051,Q1
AMBER,0,213,357,570,0.6263157894736842,17556,0.032467532467532464,1.6059832232202507,4.237918215613383,Q1
MANDY,0,152,241,393,0.6132315521628499,17556,0.02238550922761449,1.5724329503978292,2.9219330855018586,Q1
GUS,0,120,190,310,0.6129032258064516,17556,0.017657780815675553,1.5715910641976432,2.3048327137546467,Q1
JANET,0,87,129,216,0.5972222222222222,17556,0.012303485987696514,1.531382228490832,1.6059479553903346,Q1
PAM,0,234,342,576,0.59375,17556,0.032809295967190705,1.5224788434414667,4.282527881040892,Q1
LOLA,0,176,257,433,0.5935334872979214,17556,0.024663932558669402,1.5219236670065177,3.2193308550185873,Q1
OTIS,0,85,112,197,0.5685279187817259,17556,0.011221234905445432,1.457805016001661,1.4646840148698885,Q1
LOU,0,168,216,384,0.5625,17556,0.021872863978127138,1.442348377997179,2.855018587360595,Q1
CARL,0,144,182,326,0.558282208588957,17556,0.018569150148097516,1.4315332231519378,2.423791821561338,Q1
PENNY,0,181,225,406,0.5541871921182266,17556,0.023125996810207338,1.4210328847262848,3.0185873605947955,Q1
POCO,0,780,966,1746,0.5532646048109966,17556,0.09945317840054682,1.418667209515362,12.981412639405203,Q1
BELLE,0,166,205,371,0.5525606469002695,17556,0.02113237639553429,1.41686213831409,2.7583643122676578,Q1
BONNIE,0,79,92,171,0.5380116959064327,17556,0.00974025974025974,1.3795560834384972,1.2713754646840147,Q1
CROW,0,884,974,1858,0.5242195909580194,17556,0.10583276372750057,1.344190714191367,13.814126394052044,Q1
BEA,0,682,749,1431,0.5234102026554857,17556,0.08151059466848941,1.342115301026337,10.639405204460967,Q1
STU,0,368,386,754,0.5119363395225465,17556,0.042948279790385055,1.3126943092411698,5.605947955390334,Q1
BYRON,0,89,85,174,0.4885057471264368,17556,0.009911141490088858,1.2526141724624287,1.2936802973977695,Q1
MAX,0,271,237,508,0.46653543307086615,17556,0.028935976304397357,1.196278444743067,3.7769516728624533,Q1
SPIKE,0,209,180,389,0.46272493573264784,17556,0.022157666894509,1.1865076631339262,2.892193308550186,Q1
LEON,0,119,99,218,0.4541284403669725,17556,0.01241740715424926,1.164464745539007,1.620817843866171,Q1
CHESTER,0,115,86,201,0.42786069651741293,17556,0.011449077238550922,1.0971096562322378,1.4944237918215613,Q1
PIPER,0,123,79,202,0.3910891089108911,17556,0.011506037821827296,1.002820874471086,1.5018587360594795,Q1
