brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MEG,0,81,229,310,0.7387096774193549,8676,0.03573075149838635,1.5293658471494813,3.6686390532544375,Q1
SPROUT,0,32,78,110,0.7090909090909091,8676,0.012678653757491932,1.4680455015511893,1.301775147928994,Q1
CARL,1,55,121,177,0.6836158192090396,8676,0.020401106500691563,1.4153038987140611,2.094674556213018,Q1
BELLE,0,32,65,97,0.6701030927835051,8676,0.011180267404333795,1.387328223115385,1.1479289940828403,Q1
STU,2,168,315,485,0.6494845360824743,8676,0.055901337021668975,1.344641200865681,5.739644970414202,Q1
GRAY,0,74,135,209,0.645933014354067,8676,0.02408944213923467,1.3372884123442008,2.473372781065089,Q1
PENNY,0,77,137,214,0.6401869158878505,8676,0.02466574458275703,1.3253921464399965,2.532544378698225,Q1
MAX,0,58,103,161,0.639751552795031,8676,0.01855693868142001,1.3244908052695472,1.9053254437869822,Q1
BARLEY,0,135,229,364,0.6291208791208791,8676,0.041954817888427844,1.3024819027921406,4.3076923076923075,Q1
SQUEAK,0,46,73,119,0.6134453781512605,8676,0.01371599815583218,1.2700285905468702,1.408284023668639,Q1
OTIS,0,43,67,110,0.6090909090909091,8676,0.012678653757491932,1.2610134436401241,1.301775147928994,Q1
RICO,0,54,79,133,0.5939849624060151,8676,0.01532964499769479,1.2297392913514396,1.57396449704142,Q1
CHESTER,1,265,384,650,0.5907692307692308,8676,0.07491931765790687,1.223081695966908,7.692307692307692,Q1
BEA,2,308,431,741,0.581646423751687,8676,0.08540802213001383,1.204194560859232,8.76923076923077,Q1
GRIFF,1,151,200,352,0.5681818181818182,8676,0.04057169202397418,1.1763185108583247,4.165680473372781,Q1
GROM,1,66,85,152,0.5592105263157895,8676,0.01751959428307976,1.1577450606868775,1.7988165680473374,Q1
SAM,0,49,58,107,0.5420560747663551,8676,0.012332872291378515,1.1222298466207268,1.2662721893491125,Q1
