brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
ASH,1,196,409,606,0.6749174917491749,29244,0.020722199425523183,1.4226989030101547,2.878859857482185,Q1
RUFFS,0,206,398,604,0.6589403973509934,29244,0.020653809328409246,1.3890198311955066,2.869358669833729,Q1
STU,0,654,1035,1689,0.6127886323268206,29244,0.05775543701272056,1.2917337684181103,8.02375296912114,Q1
GALE,0,399,605,1004,0.602589641434263,29244,0.03433182875119683,1.2702347061889678,4.7695961995249405,Q1
BARLEY,0,390,572,962,0.5945945945945946,29244,0.03289563671180413,1.253381469300957,4.570071258907363,Q1
SAM,1,295,432,728,0.5934065934065934,29244,0.024893995349473397,1.250877210621035,3.4584323040380047,Q1
FRANK,0,420,596,1016,0.5866141732283464,29244,0.034742169333880454,1.2365590623221503,4.826603325415677,Q1
DARRYL,0,138,192,330,0.5818181818181818,29244,0.011284366023799754,1.2264493054977958,1.5676959619952495,Q1
GRAY,0,185,239,424,0.5636792452830188,29244,0.014498700588154835,1.1882131574858878,2.014251781472684,Q1
BUSTER,0,277,320,597,0.5360134003350083,29244,0.020414443988510465,1.1298946700565957,2.836104513064133,Q1
COLT,0,115,129,244,0.5286885245901639,29244,0.008343591847900424,1.1144541268579484,1.159144893111639,Q1
RICO,1,1798,1999,3798,0.5263296471827278,29244,0.12987279441936808,1.1094817082424564,18.04275534441805,Q1
SURGE,0,767,834,1601,0.5209244222361025,29244,0.05474627273970729,1.0980877116486552,7.605700712589073,Q1
JACKY,0,131,139,270,0.5148148148148148,29244,0.009232663110381617,1.0852089051540104,1.2826603325415677,Q1
BIBI,0,568,575,1143,0.5030621172353456,29244,0.03908494050061551,1.0604346917751475,5.4299287410926365,Q1
DYNAMIKE,0,1777,1771,3548,0.4991544532130778,29244,0.12132403228012584,1.0521974933238163,16.855106888361043,Q1
CHESTER,0,272,269,541,0.49722735674676527,29244,0.018499521269320203,1.0481352515503635,2.5700712589073635,Q1
GRIFF,1,260,255,516,0.4941860465116279,29244,0.01764464505539598,1.0417242920062129,2.451306413301663,Q1
BUZZ,0,259,237,496,0.4778225806451613,29244,0.016960744084256598,1.0072307646902576,2.356294536817102,Q1
