brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,0,111,221,332,0.6656626506024096,7398,0.04487699378210327,1.5946961760083813,7.545454545454545,Q1
BONNIE,0,59,95,154,0.6168831168831169,7398,0.020816436874831035,1.4778373800112934,3.5,Q1
PIPER,0,201,313,514,0.6089494163424124,7398,0.06947823736144904,1.4588309930637795,11.68181818181818,Q1
GUS,0,103,158,261,0.6053639846743295,7398,0.03527980535279805,1.45024154589372,5.931818181818182,Q1
JACKY,0,62,95,157,0.6050955414012739,7398,0.021221951878886185,1.4495984491830518,3.568181818181818,Q1
JANET,0,36,55,91,0.6043956043956044,7398,0.012300621789672884,1.4479216435738176,2.068181818181818,Q1
BYRON,0,33,50,83,0.6024096385542169,7398,0.011219248445525817,1.4431639601885806,1.8863636363636362,Q1
BO,0,126,170,296,0.5743243243243243,7398,0.04001081373344147,1.3758813160987076,6.7272727272727275,Q1
GRAY,0,187,239,426,0.5610328638497653,7398,0.0575831305758313,1.3440395999183508,9.681818181818182,Q1
BELLE,0,128,148,276,0.5362318840579711,7398,0.0373073803730738,1.2846250787649656,6.2727272727272725,Q1
SPROUT,0,138,155,293,0.5290102389078498,7398,0.03960529872938632,1.267324528861849,6.659090909090908,Q1
GROM,0,497,554,1051,0.527117031398668,7398,0.1420654230873209,1.262789062176809,23.886363636363637,Q1
FANG,0,93,93,186,0.5,7398,0.025141930251419302,1.1978260869565218,4.227272727272727,Q1
PENNY,0,44,42,86,0.4883720930232558,7398,0.011624763449580968,1.169969666329626,1.9545454545454544,Q1
CARL,0,87,82,169,0.48520710059171596,7398,0.022844011895106785,1.1623874453305891,3.840909090909091,Q1
MAX,0,69,62,131,0.4732824427480916,7398,0.01770748851040822,1.1338201128443413,2.9772727272727275,Q1
RICO,0,61,50,111,0.45045045045045046,7398,0.015004055150040552,1.0791226008617314,2.5227272727272725,Q1
MORTIS,0,185,148,333,0.4444444444444444,7398,0.045012165450121655,1.0647342995169082,7.568181818181818,Q1
GENE,0,126,100,226,0.4424778761061947,7398,0.030548796972154638,1.0600230858022317,5.136363636363637,Q1
BROCK,0,241,186,427,0.43559718969555034,7398,0.05771830224384969,1.0435393544445577,9.704545454545455,Q1
MR. P,0,42,32,74,0.43243243243243246,7398,0.010002703433360368,1.0359576968272621,1.6818181818181819,Q1
TICK,0,275,202,477,0.42348008385744235,7398,0.06447688564476886,1.01451098350196,10.840909090909092,Q1
