brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
JACKY,5,306,485,796,0.6092964824120602,20676,0.038498742503385565,1.3875321692010307,5.625441696113073,Q1
SHELLY,2,131,195,328,0.5945121951219512,20676,0.015863803443606113,1.353864365749208,2.3180212014134276,Q1
MANDY,1,591,867,1459,0.5942426319396847,20676,0.07056490617140646,1.3532504977919433,10.310954063604239,Q1
8-BIT,1,60,89,150,0.5933333333333334,20676,0.007254788160185722,1.3511797799983207,1.0600706713780919,Q1
GRAY,7,606,843,1456,0.5789835164835165,20676,0.07041981040820275,1.3185013827385146,10.289752650176679,Q1
BO,10,1205,1599,2814,0.5682302771855011,20676,0.13609982588508415,1.294013361094197,19.886925795053003,Q1
GUS,0,87,109,196,0.5561224489795918,20676,0.009479589862642678,1.26644057572647,1.3851590106007068,Q1
TARA,3,539,633,1175,0.5387234042553192,20676,0.056829173921454826,1.2268182654634525,8.303886925795053,Q1
MR. P,0,110,124,234,0.5299145299145299,20676,0.011317469529889728,1.2067580864289238,1.6537102473498233,Q1
PENNY,1,141,155,297,0.5218855218855218,20676,0.014364480557167731,1.1884738729981823,2.0989399293286217,Q1
SPROUT,2,159,171,332,0.5150602409638554,20676,0.016057264461211068,1.172930870345097,2.346289752650177,Q1
CARL,0,97,99,196,0.5051020408163265,20676,0.009479589862642678,1.150253366944225,1.3851590106007068,Q1
GENE,2,198,201,401,0.5012468827930174,20676,0.0193944670148965,1.141474133961427,2.833922261484099,Q1
MORTIS,3,912,895,1810,0.494475138121547,20676,0.08754111046624105,1.1260530477669288,12.791519434628976,Q1
GROM,0,700,667,1367,0.4879297732260424,20676,0.06611530276649255,1.1111474892845974,9.66077738515901,Q1
BELLE,0,136,115,251,0.4581673306772908,20676,0.012139678854710775,1.0433703928094826,1.773851590106007,Q1
CHESTER,0,115,95,210,0.4523809523809524,20676,0.010156703424260012,1.030193251202572,1.4840989399293287,Q1
COLT,0,134,106,240,0.44166666666666665,20676,0.011607661056297156,1.0057939373583005,1.696113074204947,Q1
