brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,0,148,273,421,0.6484560570071259,6720,0.06264880952380952,1.3971218316846568,7.517857142857143,Q1
PENNY,0,23,38,61,0.6229508196721312,6720,0.009077380952380953,1.3421698831016116,1.0892857142857144,Q1
BELLE,0,55,80,135,0.5925925925925926,6720,0.020089285714285716,1.276761994061572,2.410714285714286,Q1
BUSTER,0,39,53,92,0.5760869565217391,6720,0.01369047619047619,1.2412000091726287,1.6428571428571428,Q1
MAX,0,28,38,66,0.5757575757575758,6720,0.009821428571428571,1.2404903465030048,1.1785714285714286,Q1
BO,3,246,332,581,0.5714285714285714,6720,0.08645833333333333,1.231163351416516,10.375,Q1
JANET,0,31,41,72,0.5694444444444444,6720,0.010714285714285714,1.226888478668542,1.2857142857142858,Q1
GENE,0,89,114,203,0.5615763546798029,6720,0.030208333333333334,1.2099363970817483,3.625,Q1
GRAY,3,231,297,531,0.559322033898305,6720,0.07901785714285714,1.205079382106844,9.482142857142858,Q1
JACKY,3,100,130,233,0.5579399141630901,6720,0.03467261904761905,1.202101555567628,4.160714285714286,Q1
OTIS,0,31,38,69,0.5507246376811594,6720,0.010267857142857143,1.1865559836115698,1.2321428571428572,Q1
BONNIE,0,26,31,57,0.543859649122807,6720,0.008482142857142856,1.1717651195499297,1.0178571428571428,Q1
SPROUT,0,40,46,86,0.5348837209302325,6720,0.012797619047619047,1.1524261603375525,1.5357142857142856,Q1
GROM,0,280,309,589,0.5246179966044142,6720,0.08764880952380952,1.1303082890975906,10.517857142857142,Q1
SHELLY,0,59,63,122,0.5163934426229508,6720,0.018154761904761906,1.1125881925710728,2.178571428571429,Q1
RICO,0,199,198,397,0.4987405541561713,6720,0.05907738095238095,1.0745544112489238,7.089285714285714,Q1
FANG,0,78,73,151,0.48344370860927155,6720,0.022470238095238095,1.0415968088970855,2.6964285714285716,Q1
SPIKE,0,52,48,100,0.48,6720,0.01488095238095238,1.0341772151898734,1.7857142857142856,Q1
