brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
MANDY,2,805,1195,2002,0.596903096903097,32994,0.06067769897557131,1.2827261593167694,7.8050682261208575,Q1
TARA,3,464,689,1156,0.5960207612456747,32994,0.03503667333454567,1.2808300474772671,4.50682261208577,Q1
GUS,0,183,258,441,0.5850340136054422,32994,0.01336606655755592,1.2572198690797074,1.719298245614035,Q1
JACKY,3,638,874,1515,0.5768976897689769,32994,0.04591743953446081,1.2397351626342978,5.906432748538012,Q1
BO,6,1538,2068,3612,0.5725359911406424,32994,0.10947444989998181,1.2303620081664308,14.08187134502924,Q1
GRAY,4,1211,1590,2805,0.5668449197860963,32994,0.08501545735588288,1.2181320731252332,10.935672514619883,Q1
BONNIE,0,151,189,340,0.5558823529411765,32994,0.010304903921925198,1.1945738585034718,1.3255360623781676,Q1
SHELLY,0,189,228,417,0.5467625899280576,32994,0.012638661574831787,1.174975771905512,1.6257309941520468,Q1
BELLE,0,273,317,590,0.5372881355932203,32994,0.017882039158634903,1.1546154647072384,2.3001949317738792,Q1
NANI,0,182,200,382,0.5235602094240838,32994,0.01157786264169243,1.1251145790497807,1.4892787524366473,Q1
FANG,1,373,407,781,0.5211267605633803,32994,0.023670970479481118,1.119885173259831,3.0448343079922027,Q1
MORTIS,3,1080,1177,2260,0.5207964601769911,32994,0.06849730253985573,1.1191753680196639,8.810916179337232,Q1
SPROUT,0,133,139,272,0.5110294117647058,32994,0.008243923137540158,1.0981862852644348,1.060428849902534,Q1
GENE,0,282,292,574,0.5087108013937283,32994,0.017397102503485484,1.0932036638112261,2.2378167641325537,Q1
GROM,0,897,915,1812,0.5049668874172185,32994,0.05491907619567194,1.0851581093136584,7.064327485380117,Q1
RICO,0,183,172,355,0.48450704225352115,32994,0.01075953203612778,1.0411905394631944,1.3840155945419104,Q1
CARL,0,177,166,343,0.4839650145772595,32994,0.010395829544765716,1.0400257388732463,1.3372319688109162,Q1
