brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
JACKY,21,1105,1691,2817,0.6002839900603479,51246,0.0549701440112399,1.3280731060418998,7.501997336884155,Q1
GRAY,23,1822,2708,4553,0.5947726773555897,51246,0.08884595870897241,1.3158798336851931,12.125166444740346,Q1
MANDY,6,1405,2040,3451,0.5911330049261084,51246,0.06734184131444405,1.3078273932596034,9.190412782956058,Q1
BO,28,2028,2638,4694,0.561994034938219,51246,0.09159739296725598,1.2433601027446795,12.500665778961384,Q1
GUS,2,520,651,1173,0.5549872122762148,51246,0.022889591382742068,1.2278581521841172,3.1238348868175763,Q1
SPROUT,0,214,266,480,0.5541666666666667,51246,0.009366584709050463,1.226042770507501,1.2782956058588548,Q1
JANET,0,188,233,421,0.5534441805225653,51246,0.00821527533856301,1.2244443363773945,1.1211717709720372,Q1
SHELLY,2,207,249,458,0.5436681222707423,51246,0.008937282909885649,1.202815706824839,1.2197070572569906,Q1
EVE,1,632,726,1359,0.5342163355408388,51246,0.02651914295749912,1.181904498183798,3.619174434087882,Q1
PENNY,1,260,291,552,0.5271739130434783,51246,0.010771572415408031,1.1663237862624478,1.4700399467376828,Q1
BONNIE,1,271,300,572,0.5244755244755245,51246,0.011161846778285134,1.160353849788896,1.5233022636484685,Q1
MR. P,2,178,196,376,0.5212765957446809,51246,0.007337158022089529,1.1532765142511767,1.0013315579227695,Q1
SQUEAK,1,270,272,543,0.5009208103130756,51246,0.010595948952113335,1.1082412115749272,1.4460719041278294,Q1
BELLE,0,668,670,1338,0.5007473841554559,51246,0.026109354876478166,1.1078575221551983,3.563249001331558,Q1
NANI,0,337,335,672,0.49851190476190477,51246,0.013113218592670648,1.1029117296455768,1.7896138482023967,Q1
TARA,2,276,269,547,0.49177330895795246,51246,0.010674003824688756,1.0880032063334422,1.4567243675099866,Q1
GENE,3,834,808,1645,0.4911854103343465,51246,0.03210006634664169,1.0867025347113128,4.380825565912117,Q1
CARL,2,503,469,974,0.4815195071868583,51246,0.019006361472114895,1.065317613193592,2.593874833555259,Q1
GROM,3,1227,1115,2345,0.47547974413646055,51246,0.04575966904734028,1.051955193060927,6.245006657789613,Q1
BROCK,3,1682,1501,3186,0.47112366603892025,51246,0.06217070600632244,1.042317770999113,8.484687083888149,Q1
PIPER,0,1636,1412,3048,0.463254593175853,51246,0.05947781290247044,1.0249081711897408,8.117177097203728,Q1
BYRON,0,374,309,683,0.45241581259150804,51246,0.013327869492253053,1.0009283662395696,1.8189081225033288,Q1
