brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
GUS,1,349,564,914,0.6170678336980306,31974,0.028585725902295616,1.525258734285685,7.745762711864407,Q1
MANDY,1,1136,1751,2888,0.6063019390581718,31974,0.09032338775254894,1.4986477623064196,24.47457627118644,Q1
EVE,0,1454,2141,3595,0.5955493741307372,31974,0.1124351035216113,1.4720697385043082,30.466101694915253,Q1
NANI,0,1396,2023,3419,0.5916934776250365,31974,0.10693063113779946,1.4625387931160585,28.97457627118644,Q1
SPROUT,0,106,137,243,0.5637860082304527,31974,0.007599924939012948,1.3935575415884838,2.059322033898305,Q1
BONNIE,1,212,266,479,0.5553235908141962,31974,0.014980921999124288,1.3726402690092867,4.0593220338983045,Q1
MR. P,0,149,171,320,0.534375,31974,0.01000813160693063,1.320859866004249,2.711864406779661,Q1
LOLA,0,70,80,150,0.5333333333333333,31974,0.0046913116907487335,1.3182850904369892,1.271186440677966,Q1
PIPER,2,2583,2753,5338,0.5157362307980518,31974,0.1669481453681116,1.2747888443610778,45.23728813559322,Q1
BELLE,1,707,719,1427,0.50385423966363,31974,0.04463001188465628,1.245419122316304,12.09322033898305,Q1
GENE,0,348,346,694,0.49855907780979825,31974,0.021705135422530806,1.2323306230850095,5.881355932203389,Q1
BYRON,0,422,413,835,0.4946107784431138,31974,0.026114968411834617,1.222571277733106,7.076271186440678,Q1
GRAY,1,293,282,576,0.4895833333333333,31974,0.018014636892475136,1.2101445166120797,4.88135593220339,Q1
8-BIT,0,86,81,167,0.48502994011976047,31974,0.005222993682366923,1.1988895096414234,1.4152542372881356,Q1
MAX,0,207,185,392,0.4719387755102041,31974,0.012259961218490023,1.1665309712891085,3.3220338983050848,Q1
CARL,0,180,150,330,0.45454545454545453,31974,0.010320885719647213,1.1235384293497066,2.7966101694915255,Q1
SQUEAK,0,96,77,173,0.44508670520231214,31974,0.005410646149996872,1.1001584389123718,1.466101694915254,Q1
FANG,0,310,235,545,0.43119266055045874,31974,0.01704509914305373,1.0658153540803639,4.61864406779661,Q1
COLT,1,466,339,806,0.4205955334987593,31974,0.025207981484956527,1.0396215392171353,6.830508474576271,Q1
BROCK,1,1055,724,1780,0.4067415730337079,31974,0.055670232063551636,1.0053775338585464,15.084745762711865,Q1
