brawlername,d,n,y,total_games,winrate,total_games_map,userate,percentile_wr,percentile_ur,percentile_quadrant
8-BIT,3,220,334,557,0.599640933572711,43602,0.012774643364983258,1.3295704940975654,1.84742951907131,Q1
MANDY,6,1209,1686,2901,0.5811789038262668,43602,0.06653364524563093,1.2886350465026637,9.62189054726368,Q1
SHELLY,0,269,355,624,0.5689102564102564,43602,0.014311270125223614,1.2614320476853125,2.0696517412935322,Q1
GRAY,6,1750,2291,4047,0.566098344452681,43602,0.09281684326407046,1.2551972578945,13.422885572139302,Q1
NANI,3,518,672,1193,0.5632858340318525,43602,0.02736113022338425,1.2489611411444383,3.956882255389718,Q1
MR. P,0,177,227,404,0.5618811881188119,43602,0.009265630016971699,1.2458466510286512,1.3399668325041458,Q1
JACKY,4,1004,1268,2276,0.5571177504393673,43602,0.052199440392642536,1.2352847866953949,7.548922056384742,Q1
BO,8,1872,2328,4208,0.5532319391634981,43602,0.09650933443420026,1.2266688638509602,13.956882255389717,Q1
GENE,2,653,808,1463,0.5522898154477102,43602,0.03355350671987523,1.2245799139074698,4.852404643449419,Q1
GUS,1,363,447,811,0.5511713933415536,43602,0.01860006421723774,1.2221000614673898,2.6898839137645107,Q1
EVE,0,181,212,393,0.539440203562341,43602,0.009013348011559104,1.1960887555043875,1.3034825870646767,Q1
BELLE,2,506,545,1053,0.5175688509021842,43602,0.024150268336314847,1.1475938921039044,3.4925373134328352,Q1
SPROUT,1,229,245,475,0.5157894736842106,43602,0.01089399568827118,1.1436485186071497,1.575456053067993,Q1
BONNIE,0,197,198,395,0.5012658227848101,43602,0.009059217467088666,1.111445550762102,1.3101160862354893,Q1
GROM,2,1580,1573,3155,0.4985736925515055,43602,0.07235906609788542,1.1054763503221927,10.464344941956883,Q1
PIPER,1,1198,1147,2346,0.48891730605285594,43602,0.05380487133617724,1.0840654594883872,7.781094527363184,Q1
FANG,2,513,465,980,0.4744897959183674,43602,0.022476033209485803,1.0520756624213001,3.2504145936981756,Q1
BYRON,2,226,205,433,0.47344110854503463,43602,0.00993073712215036,1.049750431252026,1.4361525704809286,Q1
MORTIS,3,858,733,1594,0.4598494353826851,43602,0.0365579560570616,1.0196139168976628,5.286898839137645,Q1
LEON,0,431,364,795,0.4578616352201258,43602,0.018233108573001238,1.0152064118453403,2.6368159203980097,Q1
BROCK,1,1423,1175,2599,0.45209696036937286,43602,0.05960735746066694,1.0024245266195244,8.620232172470978,Q1
MAX,1,313,259,573,0.45200698080279234,43602,0.01314159900921976,1.0022250169294766,1.9004975124378107,Q1
