,brawlername,event.mode,event.map,total_games,total_draws,total_wins,winrate
0,TICK,knockout,X Marks the Spot,80,0.0,70.0,0.875
1,TICK,knockout,Riverside,35,0.0,31.0,0.8857142857142857
2,TICK,knockout,Out in the Open,80,0.0,64.0,0.8
3,TICK,knockout,New Perspective,21,0.0,21.0,1.0
4,TICK,knockout,Goldarm Gulch,33,0.0,24.0,0.7272727272727273
5,TICK,knockout,Flaring Phoenix,26,0.0,20.0,0.7692307692307693
6,TICK,knockout,Belle`s Rock,144,0.0,114.0,0.7916666666666666
7,TICK,hotZone,Split,133,1.0,121.0,0.9097744360902256
8,TICK,hotZone,Ring of Fire,58,0.0,53.0,0.9137931034482759
9,TICK,hotZone,Quarter Pounder,91,0.0,87.0,0.9560439560439561
10,TICK,hotZone,Parallel Plays,40,0.0,39.0,0.975
11,TICK,hotZone,Open Zone,27,0.0,26.0,0.9629629629629629
12,TICK,hotZone,Dueling Beetles,109,0.0,97.0,0.8899082568807339
13,TICK,hotZone,Controller Chaos,102,0.0,94.0,0.9215686274509803
14,TICK,heist,Tornado Ring,1,0.0,1.0,1.0
15,TICK,heist,Safe Zone,2,0.0,2.0,1.0
16,TICK,heist,Pit Stop,1,0.0,1.0,1.0
17,TICK,heist,Kaboom Canyon,1,0.0,1.0,1.0
18,TICK,heist,Hot Potato,1,0.0,1.0,1.0
19,TICK,heist,Bridge Too Far,1,0.0,1.0,1.0
20,TICK,gemGrab,Undermine,13,0.0,9.0,0.6923076923076923
21,TICK,gemGrab,Minecart Madness,174,0.0,153.0,0.8793103448275862
22,TICK,gemGrab,Hard Rock Mine,11,0.0,10.0,0.9090909090909091
23,TICK,gemGrab,Gem Fort,3,0.0,3.0,1.0
24,TICK,gemGrab,Double Swoosh,11,0.0,10.0,0.9090909090909091
25,TICK,gemGrab,Deep Diner,94,0.0,82.0,0.8723404255319149
26,TICK,gemGrab,Crystal Arcade,29,0.0,26.0,0.896551724137931
27,TICK,brawlBall,Super Beach,24,0.0,22.0,0.9166666666666666
28,TICK,brawlBall,Sunny Soccer,46,1.0,30.0,0.6521739130434783
29,TICK,brawlBall,Sneaky Fields,29,0.0,25.0,0.8620689655172413
30,TICK,brawlBall,Pinhole Punt,37,0.0,30.0,0.8108108108108109
31,TICK,brawlBall,Center Stage,65,1.0,53.0,0.8153846153846154
32,TICK,brawlBall,Beach Ball,55,1.0,45.0,0.8181818181818182
33,TICK,brawlBall,Backyard Bowl,32,0.0,25.0,0.78125
34,TICK,bounty,Temple Ruins,11,0.0,10.0,0.9090909090909091
35,TICK,bounty,Shooting Star,369,0.0,301.0,0.8157181571815718
36,TICK,bounty,Layer Cake,156,0.0,130.0,0.8333333333333334
37,TICK,bounty,Hideout,256,0.0,223.0,0.87109375
38,TICK,bounty,Excel,38,0.0,34.0,0.8947368421052632
39,TICK,bounty,Dry Season,151,0.0,133.0,0.8807947019867549
40,TICK,bounty,Canal Grande,7,0.0,5.0,0.7142857142857143
41,TARA,knockout,X Marks the Spot,2,0.0,1.0,0.5
42,TARA,knockout,Out in the Open,61,1.0,38.0,0.6229508196721312
43,TARA,knockout,New Perspective,49,0.0,37.0,0.7551020408163265
44,TARA,knockout,Goldarm Gulch,12,0.0,10.0,0.8333333333333334
45,TARA,knockout,Flaring Phoenix,72,0.0,50.0,0.6944444444444444
46,TARA,knockout,Belle`s Rock,3,0.0,3.0,1.0
47,TARA,hotZone,Split,12,0.0,12.0,1.0
48,TARA,hotZone,Ring of Fire,43,0.0,36.0,0.8372093023255814
49,TARA,hotZone,Quarter Pounder,14,0.0,9.0,0.6428571428571429
50,TARA,hotZone,Parallel Plays,4,0.0,3.0,0.75
51,TARA,hotZone,Open Zone,8,0.0,6.0,0.75
52,TARA,hotZone,Dueling Beetles,8,0.0,8.0,1.0
53,TARA,hotZone,Controller Chaos,35,0.0,28.0,0.8
54,TARA,heist,Tornado Ring,37,0.0,28.0,0.7567567567567568
55,TARA,heist,Snaked Assault,24,0.0,14.0,0.5833333333333334
56,TARA,heist,Safe Zone,1,0.0,1.0,1.0
57,TARA,heist,Pit Stop,11,1.0,7.0,0.6363636363636364
58,TARA,heist,Kaboom Canyon,4,0.0,3.0,0.75
59,TARA,heist,Hot Potato,6,0.0,5.0,0.8333333333333334
60,TARA,gemGrab,Undermine,183,0.0,131.0,0.7158469945355191
61,TARA,gemGrab,Minecart Madness,31,0.0,23.0,0.7419354838709677
62,TARA,gemGrab,Hard Rock Mine,101,0.0,70.0,0.693069306930693
63,TARA,gemGrab,Gem Fort,208,0.0,165.0,0.7932692307692307
64,TARA,gemGrab,Double Swoosh,267,0.0,197.0,0.7378277153558053
65,TARA,gemGrab,Deep Diner,102,0.0,72.0,0.7058823529411765
66,TARA,gemGrab,Crystal Arcade,175,0.0,142.0,0.8114285714285714
67,TARA,brawlBall,Super Beach,51,3.0,34.0,0.6666666666666666
68,TARA,brawlBall,Sunny Soccer,78,0.0,60.0,0.7692307692307693
69,TARA,brawlBall,Sneaky Fields,161,2.0,133.0,0.8260869565217391
70,TARA,brawlBall,Pinhole Punt,113,1.0,92.0,0.8141592920353983
71,TARA,brawlBall,Center Stage,269,7.0,202.0,0.7509293680297398
72,TARA,brawlBall,Beach Ball,120,0.0,98.0,0.8166666666666667
73,TARA,brawlBall,Backyard Bowl,24,0.0,20.0,0.8333333333333334
74,TARA,bounty,Temple Ruins,3,0.0,3.0,1.0
75,TARA,bounty,Shooting Star,1,0.0,1.0,1.0
76,TARA,bounty,Layer Cake,2,0.0,0.0,0.0
77,TARA,bounty,Hideout,4,0.0,4.0,1.0
78,TARA,bounty,Excel,1,0.0,1.0,1.0
