,battleTime,brawlername,event_mode,event_map,no,yes,total_games
0,2023-02-05,TICK,knockout,X Marks the Spot,307,266,573
1,2023-02-05,TICK,knockout,Goldarm Gulch,53,33,86
2,2023-02-05,TICK,hotZone,Ring of Fire,364,117,481
3,2023-02-05,TICK,heist,Snaked Assault,16,5,21
4,2023-02-05,TICK,heist,Pit Stop,5,0,5
5,2023-02-05,TICK,gemGrab,Hard Rock Mine,36,6,42
6,2023-02-05,TICK,gemGrab,Double Swoosh,186,86,272
7,2023-02-05,TICK,brawlBall,Super Beach,13,10,23
8,2023-02-05,TICK,brawlBall,Sneaky Fields,9,2,11
9,2023-02-05,TICK,brawlBall,Backyard Bowl,336,205,541
10,2023-02-05,TICK,bounty,Layer Cake,600,494,1094
11,2023-02-04,TICK,knockout,X Marks the Spot,112,108,220
12,2023-02-04,TICK,knockout,Goldarm Gulch,31,21,52
13,2023-02-04,TICK,hotZone,Ring of Fire,67,47,114
14,2023-02-04,TICK,heist,Tornado Ring,3,1,4
15,2023-02-04,TICK,heist,Pit Stop,1,0,1
16,2023-02-04,TICK,gemGrab,Hard Rock Mine,37,14,51
17,2023-02-04,TICK,gemGrab,Double Swoosh,25,6,31
18,2023-02-04,TICK,gemGrab,Deep Diner,18,9,27
19,2023-02-04,TICK,brawlBall,Super Beach,128,82,210
20,2023-02-04,TICK,brawlBall,Sneaky Fields,11,7,18
21,2023-02-04,TICK,bounty,Dry Season,147,112,259
22,2023-02-03,TICK,knockout,Out in the Open,343,303,646
23,2023-02-03,TICK,knockout,Goldarm Gulch,176,139,315
24,2023-02-03,TICK,hotZone,Split,361,126,487
25,2023-02-03,TICK,heist,Tornado Ring,27,6,33
26,2023-02-03,TICK,heist,Pit Stop,25,2,27
27,2023-02-03,TICK,gemGrab,Undermine,29,16,45
28,2023-02-03,TICK,gemGrab,Double Swoosh,166,17,183
29,2023-02-03,TICK,gemGrab,Deep Diner,396,250,646
30,2023-02-03,TICK,brawlBall,Sneaky Fields,527,310,837
31,2023-02-03,TICK,brawlBall,Pinhole Punt,21,10,31
32,2023-02-03,TICK,bounty,Dry Season,941,777,1718
33,2023-02-02,TICK,knockout,Out in the Open,136,106,242
34,2023-02-02,TICK,hotZone,Split,160,99,259
35,2023-02-02,TICK,heist,Kaboom Canyon,4,3,7
36,2023-02-02,TICK,gemGrab,Undermine,45,14,59
37,2023-02-02,TICK,gemGrab,Gem Fort,9,5,14
38,2023-02-02,TICK,brawlBall,Sunny Soccer,14,12,26
39,2023-02-02,TICK,brawlBall,Pinhole Punt,108,68,176
40,2023-02-02,TICK,bounty,Shooting Star,126,141,267
41,2023-02-01,TICK,knockout,Goldarm Gulch,341,285,626
42,2023-02-01,TICK,hotZone,Parallel Plays,328,86,414
43,2023-02-01,TICK,heist,Kaboom Canyon,25,7,32
44,2023-02-01,TICK,gemGrab,Gem Fort,84,51,135
45,2023-02-01,TICK,gemGrab,Crystal Arcade,66,28,94
46,2023-02-01,TICK,brawlBall,Sunny Soccer,525,402,927
47,2023-02-01,TICK,brawlBall,Beach Ball,16,6,22
48,2023-02-01,TICK,bounty,Shooting Star,358,283,641
49,2023-01-31,TICK,knockout,Goldarm Gulch,146,149,295
50,2023-01-31,TICK,hotZone,Parallel Plays,130,43,173
51,2023-01-31,TICK,heist,Pit Stop,8,1,9
52,2023-01-31,TICK,gemGrab,Minecart Madness,63,47,110
53,2023-01-31,TICK,gemGrab,Crystal Arcade,73,54,127
54,2023-01-31,TICK,brawlBall,Center Stage,5,4,9
55,2023-01-31,TICK,brawlBall,Beach Ball,242,154,396
56,2023-01-31,TICK,bounty,Hideout,180,113,293
57,2023-01-30,TICK,knockout,Belle's Rock,1037,910,1947
58,2023-01-30,TICK,hotZone,Quarter Pounder,513,144,657
59,2023-01-30,TICK,heist,Pit Stop,20,7,27
60,2023-01-30,TICK,gemGrab,Minecart Madness,638,402,1040
61,2023-01-30,TICK,gemGrab,Double Swoosh,73,31,104
62,2023-01-30,TICK,brawlBall,Center Stage,384,266,650
63,2023-01-30,TICK,brawlBall,Backyard Bowl,37,20,57
64,2023-01-30,TICK,bounty,Hideout,284,190,474
65,2023-01-29,TICK,knockout,Belle's Rock,947,849,1796
66,2023-01-29,TICK,hotZone,Quarter Pounder,304,62,366
67,2023-01-29,TICK,heist,Bridge Too Far,16,5,21
68,2023-01-29,TICK,gemGrab,Hard Rock Mine,23,9,32
69,2023-01-29,TICK,gemGrab,Double Swoosh,144,85,229
70,2023-01-29,TICK,brawlBall,Super Beach,10,2,12
71,2023-01-29,TICK,brawlBall,Backyard Bowl,318,160,478
72,2023-01-29,TICK,bounty,Canal Grande,363,207,570
73,2023-01-28,TICK,knockout,Flaring Phoenix,318,232,550
74,2023-01-28,TICK,hotZone,Controller Chaos,211,46,257
75,2023-01-28,TICK,heist,Bridge Too Far,31,11,42
76,2023-01-28,TICK,gemGrab,Hard Rock Mine,153,74,227
77,2023-01-28,TICK,gemGrab,Deep Diner,95,58,153
78,2023-01-28,TICK,brawlBall,Super Beach,517,353,870
79,2023-01-28,TICK,brawlBall,Sneaky Fields,19,8,27
80,2023-01-28,TICK,bounty,Canal Grande,580,370,950
81,2023-01-27,TICK,knockout,Flaring Phoenix,132,94,226
82,2023-01-27,TICK,hotZone,Controller Chaos,62,20,82
83,2023-01-27,TICK,heist,Hot Potato,8,1,9
84,2023-01-27,TICK,gemGrab,Undermine,9,5,14
85,2023-01-27,TICK,gemGrab,Deep Diner,123,71,194
86,2023-01-27,TICK,brawlBall,Sneaky Fields,110,84,194
87,2023-01-27,TICK,brawlBall,Pinhole Punt,5,3,8
88,2023-01-27,TICK,bounty,Temple Ruins,46,20,66
