,brawlername,event.mode,event.map,d,n,y,total_games,winrate,total_games_map,userate,percentile_quadrant
0,8-BIT,bounty,Canal Grande,0,12,4,16,0.25,20526,0.00077949917178213,Q3
1,8-BIT,bounty,Dry Season,0,58,72,130,0.5538461538461539,29460,0.004412763068567549,Q4
2,8-BIT,bounty,Excel,0,13,17,30,0.5666666666666667,17316,0.0017325017325017325,Q4
3,8-BIT,bounty,Hideout,0,11,5,16,0.3125,11538,0.0013867221355520888,Q3
4,8-BIT,bounty,Layer Cake,0,12,11,23,0.4782608695652174,19848,0.001158806932688432,Q4
5,8-BIT,bounty,Shooting Star,0,46,34,80,0.425,21186,0.0037760785424336826,Q3
6,8-BIT,bounty,Temple Ruins,0,21,20,41,0.4878048780487805,7824,0.005240286298568507,Q4
7,8-BIT,brawlBall,Backyard Bowl,33,439,646,1118,0.5778175313059034,133578,0.0083696417074668,Q4
8,8-BIT,brawlBall,Beach Ball,1,67,52,120,0.43333333333333335,88080,0.0013623978201634877,Q3
9,8-BIT,brawlBall,Center Stage,8,120,103,231,0.4458874458874459,170286,0.0013565413480849864,Q3
10,8-BIT,brawlBall,Pinhole Punt,14,207,275,496,0.5544354838709677,154962,0.003200784708509183,Q4
11,8-BIT,brawlBall,Sneaky Fields,3,64,75,142,0.528169014084507,118884,0.001194441640590828,Q4
12,8-BIT,brawlBall,Sunny Soccer,2,28,53,83,0.6385542168674698,74093,0.001120213785377836,Q4
13,8-BIT,brawlBall,Super Beach,10,118,171,299,0.5719063545150501,199884,0.0014958676032098617,Q4
14,8-BIT,gemGrab,Crystal Arcade,0,105,208,313,0.6645367412140575,29454,0.01062674000135805,Q1
15,8-BIT,gemGrab,Deep Diner,0,141,278,419,0.6634844868735084,42288,0.009908248202799848,Q1
16,8-BIT,gemGrab,Double Swoosh,0,119,131,250,0.524,51096,0.004892750900266166,Q4
17,8-BIT,gemGrab,Gem Fort,0,62,85,147,0.5782312925170068,18906,0.0077753094255791815,Q4
18,8-BIT,gemGrab,Hard Rock Mine,0,472,889,1361,0.6531961792799412,52902,0.02572681562133757,Q1
19,8-BIT,gemGrab,Minecart Madness,0,187,287,474,0.6054852320675106,40818,0.011612523886520653,Q1
