iter	Logloss
0	0.6877222765
1	0.6824487488
2	0.6776607817
3	0.6730057976
4	0.6686238452
5	0.6639879641
6	0.6600894195
7	0.6563522494
8	0.6527497796
9	0.6496071284
10	0.6464643026
11	0.6425605024
12	0.6399769119
13	0.6375056993
14	0.6352787829
15	0.6332713517
16	0.6303528636
17	0.6283407209
18	0.6264333946
19	0.6237218363
20	0.6219317127
21	0.6203172299222	0.6186681796223	0.617360574
24	0.6160479471
25	0.6146737845
26	0.6136314208
27	0.6124686861
28	0.6113596116
29	0.6102607833
30	0.6093373403
31	0.6085164225
32	0.6074732642
33	0.6065413304
34	0.6051213537
35	0.6039893292
36	0.6024784856
37	0.6017318102
38	0.6010065072
39	0.6003360834
40	0.5997538649
41	0.5990934489
42	0.5985224549
43	0.597503714
44	0.596965256
45	0.5955586998
46	0.5951156651
47	0.5942255954
48	0.593022231
49	0.5925388633
50	0.5921413559
51	0.5913431468
52	0.590936303
53	0.5904932232
54	0.5898104118
55	0.5887445928
56	0.5883691619
57	0.5881559066
58	0.5876243616
59	0.5870648775
60	0.5864409626
61	0.5856098775
62	0.585278644
63	0.5849721601
64	0.5846159641
65	0.5843328675
66	0.5839376713
67	0.5836733298
68	0.5833939255
69	0.5827326003
70	0.5824217152
71	0.582215783
72	0.5818911312
73	0.5816183706
74	0.5812980951
75	0.5810560725
76	0.5808057772
77	0.5805607685
78	0.58029664
79	0.5800301046
80	0.5797729977
81	0.5795255423
82	0.5792736161
83	0.5788582045
84	0.5786160375
85	0.578407967
86	0.5781296891
87	0.5774994811
88	0.5770072933
89	0.5765782614
90	0.5763147133
91	0.5760934986
92	0.5758027379
93	0.5756287984
94	0.5754353007
95	0.5750941695
96	0.5747953474
97	0.5746129472
98	0.5743852816
99	0.574002156
100	0.573758354
101	0.573604849
102	0.5733466545
103	0.5731619267
104	0.572967749
105	0.5727399996
106	0.5725667303
107	0.5724123446
108	0.5720750757
109	0.5718762656
110	0.5716071032
111	0.5714475849
112	0.5712677419
113	0.5711466526
114	0.5708354225
115	0.5705743644
116	0.5703668412
117	0.5699593722
118	0.5698028235
119	0.5695340674
120	0.5694242373
121	0.5692172965
122	0.5690303432
123	0.568826827
124	0.5686849251
125	0.5684571566
126	0.5682966111
127	0.5680589678
128	0.5678674482
129	0.5677288081
130	0.5675161448
131	0.5673269362
132	0.5672184071
133	0.5670576054
134	0.5668880538
135	0.5668022728
136	0.5666453731
137	0.5664467475
138	0.5663429219
139	0.5661468905
140	0.5659871438
141	0.5657941975
142	0.5655885075
143	0.5654354582
144	0.5652881238
145	0.5651410617
146	0.5649171248
147	0.564723942
148	0.5645869782
149	0.5644031876
150	0.5642929894
151	0.5639972468
152	0.5638569921
153	0.5637219339
154	0.563527537
155	0.5633705057
156	0.5632566761
157	0.5630980777
158	0.5629843966
159	0.5627900196
160	0.5626387012
161	0.5625039429
162	0.5623500909
163	0.5621789612
164	0.5619528432
165	0.5617270251
166	0.5615948678
167	0.5614100507
168	0.5612913827
169	0.561208591
170	0.5610928648
