iter	Passed	Remaining
0	230	32054
1	437	30176
2	653	29840
3	1047	35609
4	1356	36619
5	1670	37300
6	2090	39728
7	2360	38955
8	2733	39781
9	2966	38558
10	3324	38985
11	3662	39071
12	3909	38195
13	4172	37556
14	4388	36573
15	4615	35768
16	4844	35054
17	5097	34549
18	5327	33927
19	5523	33139
20	5776	32735
21	6013	32255
22	6419	32657
23	6691	32340
24	6945	31951
25	7272	31886
26	7629	31930
27	7912	31651
28	8284	31710
29	8558	31379
30	8861	31159
31	9241	31188
32	9645	31274
33	10092	31465
34	10642	31928
35	10974	31704
36	11383	31689
37	11654	31284
38	11975	31014
39	12316	30790
40	12571	30354
41	12805	29879
42	13025	29383
43	13259	28930
44	13535	28575
45	13767	28132
46	13994	27691
47	14220	27255
48	14405	26752
49	14612	26302
50	14839	25896
51	15055	25477
52	15319	25147
53	16189	25783
54	16704	25815
55	17086	25629
56	17518	25509
57	17973	25411
58	18385	25241
59	18637	24850
60	18894	24470
61	19148	24089
62	19497	23830
63	19748	23450
64	20010	23089
65	20245	22699
66	20477	22311
67	20701	21919
68	20881	21487
69	21065	21065
70	21277	20677
71	21518	20323
72	21736	19949
73	21955	19581
74	22154	19200
75	22353	18823
76	22598	18489
77	22805	18127
78	23000	17760
79	23182	17386
80	23402	17045
81	23583	16681
82	23801	16345
83	24004	16003
84	24244	15687
85	24457	15357
86	24647	15015
87	24829	14671
88	25043	14351
89	25252	14029
90	25459	13708
91	25672	13394
92	25885	13081
93	26136	12790
94	26376	12494
95	26593	12188
96	26815	11887
97	27054	11594
98	27497	11387
99	27849	11139
100	28190	10885
101	28522	10626
102	28772	10335
103	28974	10029
104	29195	9731
105	29374	9422
106	29588	9125
107	29799	8829
108	30000	8532
109	30211	8239
110	30433	7951
111	30652	7663
112	30841	7369
113	31038	7079
114	31251	6793
115	31442	6505
116	31660	6223
117	31854	5938
118	32065	5658
119	32267	5377
120	32477	5099
121	32681	4821
122	32886	4545
123	33073	4267
124	33299	3995
125	33514	3723
126	33741	3453
127	33953	3183
128	34205	2916
129	34417	2647
130	34616	2378
131	34848	2112
132	35117	1848
133	35325	1581
134	35562	1317
135	35766	1051
136	35964	787
137	36155	523
138	36330	261
139	36536	0
