,teamcomp,total_games,total_draws,total_wins,winrate,porc_total
0,"['area control', 'area control', 'area control']",339,1.0,238.0,0.7020648967551623,0.020660653339834228
1,"['area control', 'area control', 'assassin']",913,3.0,626.0,0.6856516976998904,0.05564358849341784
2,"['area control', 'area control', 'close quarters']",209,1.0,146.0,0.6985645933014354,0.01273768893222818
3,"['area control', 'area control', 'healer']",122,0.0,90.0,0.7377049180327869,0.007435397367137981
4,"['area control', 'area control', 'ranged dps']",301,0.0,204.0,0.6777408637873754,0.01834470989761092
5,"['area control', 'area control', 'sniper']",360,0.0,234.0,0.65,0.021940516821062895
6,"['area control', 'area control', 'tank stopper']",34,0.0,21.0,0.6176470588235294,0.0020721599219892736
7,"['area control', 'area control', 'tank']",130,2.0,80.0,0.6153846153846154,0.007922964407606045
8,"['area control', 'area control', 'thrower']",305,1.0,228.0,0.7475409836065574,0.018588493417844954
9,"['area control', 'assassin', 'assassin']",721,5.0,531.0,0.7364771151178918,0.0439419795221843
10,"['area control', 'assassin', 'close quarters']",372,5.0,264.0,0.7096774193548387,0.022671867381764993
11,"['area control', 'assassin', 'healer']",305,2.0,232.0,0.760655737704918,0.018588493417844954
12,"['area control', 'assassin', 'ranged dps']",534,1.0,371.0,0.6947565543071161,0.03254509995124329
13,"['area control', 'assassin', 'sniper']",1073,5.0,760.0,0.7082945013979497,0.06539492930277913
14,"['area control', 'assassin', 'tank stopper']",51,0.0,36.0,0.7058823529411765,0.0031082398829839104
15,"['area control', 'assassin', 'tank']",291,1.0,190.0,0.6529209621993127,0.017735251097025843
16,"['area control', 'assassin', 'thrower']",532,2.0,392.0,0.7368421052631579,0.032423208191126277
17,"['area control', 'close quarters', 'close quarters']",166,1.0,106.0,0.6385542168674698,0.010117016089712336
18,"['area control', 'close quarters', 'healer']",51,0.0,30.0,0.5882352941176471,0.0031082398829839104
19,"['area control', 'close quarters', 'ranged dps']",192,0.0,146.0,0.7604166666666666,0.011701608971233545
20,"['area control', 'close quarters', 'sniper']",91,1.0,57.0,0.6263736263736264,0.005546075085324232
21,"['area control', 'close quarters', 'tank stopper']",27,0.0,19.0,0.7037037037037037,0.0016455387615797173
22,"['area control', 'close quarters', 'tank']",120,0.0,82.0,0.6833333333333333,0.007313505607020965
23,"['area control', 'close quarters', 'thrower']",153,0.0,115.0,0.7516339869281046,0.009324719648951731
24,"['area control', 'healer', 'healer']",12,0.0,7.0,0.5833333333333334,0.0007313505607020966
25,"['area control', 'healer', 'ranged dps']",69,0.0,40.0,0.5797101449275363,0.004205265724037055
26,"['area control', 'healer', 'sniper']",193,0.0,155.0,0.8031088082901554,0.011762554851292052
27,"['area control', 'healer', 'tank stopper']",10,0.0,8.0,0.8,0.0006094588005850804
28,"['area control', 'healer', 'tank']",72,0.0,42.0,0.5833333333333334,0.004388103364212579
29,"['area control', 'healer', 'thrower']",80,0.0,52.0,0.65,0.0048756704046806435
30,"['area control', 'ranged dps', 'ranged dps']",114,0.0,83.0,0.7280701754385965,0.006947830326669917
31,"['area control', 'ranged dps', 'sniper']",336,2.0,237.0,0.7053571428571429,0.020477815699658702
32,"['area control', 'ranged dps', 'tank stopper']",40,0.0,27.0,0.675,0.0024378352023403218
33,"['area control', 'ranged dps', 'tank']",86,0.0,56.0,0.6511627906976745,0.005241345685031692
34,"['area control', 'ranged dps', 'thrower']",185,0.0,135.0,0.7297297297297297,0.011274987810823988
35,"['area control', 'sniper', 'sniper']",273,2.0,173.0,0.6336996336996337,0.016638225255972697
36,"['area control', 'sniper', 'tank stopper']",34,0.0,22.0,0.6470588235294118,0.0020721599219892736
37,"['area control', 'sniper', 'tank']",170,0.0,117.0,0.6882352941176471,0.010360799609946368
38,"['area control', 'sniper', 'thrower']",349,1.0,235.0,0.673352435530086,0.02127011214041931
39,"['area control', 'tank stopper', 'thrower']",15,0.0,10.0,0.6666666666666666,0.0009141882008776207
40,"['area control', 'tank', 'tank stopper']",9,0.0,6.0,0.6666666666666666,0.0005485129205265724
41,"['area control', 'tank', 'tank']",17,0.0,14.0,0.8235294117647058,0.0010360799609946368
42,"['area control', 'tank', 'thrower']",96,2.0,75.0,0.78125,0.005850804485616773
43,"['area control', 'thrower', 'thrower']",67,0.0,57.0,0.8507462686567164,0.004083373963920039
44,"['assassin', 'assassin', 'assassin']",132,1.0,85.0,0.6439393939393939,0.008044856167723062
45,"['assassin', 'assassin', 'close quarters']",114,1.0,80.0,0.7017543859649122,0.006947830326669917
46,"['assassin', 'assassin', 'healer']",93,0.0,63.0,0.6774193548387096,0.005667966845441248
47,"['assassin', 'assassin', 'ranged dps']",234,1.0,169.0,0.7222222222222222,0.014261335933690883
48,"['assassin', 'assassin', 'sniper']",373,3.0,262.0,0.7024128686327078,0.0227328132618235
